Unnamed: 0,NYG,ATL
First Downs,28,14
Rush-Yds-TDs,35-188-2,15-103-1
Cmp-Att-Yd-TD-INT,27-39-303-2-2,18-39-209-0-1
Sacked-Yards,1-0,4-28
Net Pass Yards,303,181
Total Yards,491,284
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,6-45,3-31
Third Down Conv.,6-14,3-13
Fourth Down Conv.,1-1,0-1
Time of Possession,39:38,20:22
