Quarter,Time,Tm,Detail,NYG,ATL
1.0,11:47,Falcons,Morten Andersen 47 yard field goal,0,3
,5:32,Giants,Amani Toomer 5 yard pass from Eli Manning (Lawrence Tynes kick),7,3
,5:14,Falcons,Jerious Norwood 67 yard rush (Morten Andersen kick),7,10
,2:13,Giants,Reuben Droughns 1 yard rush (Lawrence Tynes kick),14,10
2.0,8:21,Giants,Plaxico Burress 43 yard pass from Eli Manning (Lawrence Tynes kick),21,10
4.0,10:52,Giants,Lawrence Tynes 32 yard field goal,24,10
,3:08,Giants,Derrick Ward 9 yard rush (Lawrence Tynes kick),31,10
