Unnamed: 0,KAN,HOU
First Downs,33,18
Rush-Yds-TDs,33-189-2,28-94-1
Cmp-Att-Yd-TD-INT,36-41-336-2-0,14-29-129-2-0
Sacked-Yards,2-23,1-4
Net Pass Yards,313,125
Total Yards,502,219
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,10-102,4-33
Third Down Conv.,6-12,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:22,27:25
