Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYJ 25,0,0,Sam Darnold pass incomplete short middle intended for Le'Veon Bell,0.610,0.060
1,14:56,2,10,NYJ 25,0,0,Le'Veon Bell right guard for 4 yards (tackle by Germaine Pratt and Nick Vigil),0.060,-0.100
1,14:22,3,6,NYJ 29,0,0,Sam Darnold pass complete short left to Robby Anderson for 12 yards (tackle by William Jackson),-0.100,1.660
1,13:57,1,10,NYJ 41,0,0,Sam Darnold right tackle for 2 yards (tackle by Carlos Dunlap),1.660,1.390
1,13:25,2,8,NYJ 43,0,0,Le'Veon Bell right tackle for 7 yards (tackle by Germaine Pratt),1.390,1.620
1,12:46,3,1,NYJ 50,0,0,Le'Veon Bell up the middle for 1 yard (tackle by Nick Vigil),1.620,2.320
1,12:02,1,10,CIN 49,0,0,Sam Darnold pass complete short left to Ryan Griffin for 9 yards (tackle by Sam Hubbard),2.320,3.000
1,11:19,2,1,CIN 40,0,0,Sam Darnold pass incomplete deep right intended for Robby Anderson,3.000,2.280
1,11:12,3,1,CIN 40,0,0,Sam Darnold pass complete short right to Daniel Brown for 9 yards (tackle by Sam Hubbard),2.280,3.510
1,10:38,1,10,CIN 31,0,0,Bilal Powell right guard for 3 yards (tackle by Nick Vigil and Geno Atkins),3.510,3.370
1,10:01,2,7,CIN 28,0,0,Sam Darnold pass incomplete short right intended for Braxton Berrios,3.370,2.680
1,9:56,3,7,CIN 28,0,0,Sam Darnold pass complete short middle to Robby Anderson for 4 yards (tackle by William Jackson),2.680,1.970
1,9:12,4,3,CIN 24,3,0,Sam Ficken 42 yard field goal good,1.970,3.000
1,9:08,,,NYJ 35,3,0,"Sam Ficken kicks off 56 yards, muffed catch by Brandon Wilson returned by Brandon Wilson for 16 yards (tackle by Marcus Maye and Tarell Basham)",0.000,0.870
1,9:02,1,10,CIN 29,3,0,Andy Dalton pass incomplete deep middle intended for Tyler Boyd,0.870,0.330
1,8:58,2,10,CIN 29,3,0,Andy Dalton pass complete short right to C.J. Uzomah for 14 yards (tackle by James Burgess and Arthur Maulet),0.330,1.800
1,8:22,1,10,CIN 43,3,0,Joe Mixon right guard for -1 yards (tackle by Jordan Jenkins and Steve McLendon),1.800,1.120
1,7:43,2,11,CIN 42,3,0,Andy Dalton pass complete short right to C.J. Uzomah for 7 yards (tackle by Arthur Maulet),1.120,1.350
1,6:59,3,4,CIN 49,3,0,Andy Dalton pass incomplete short right,1.350,-0.130
1,6:51,4,4,CIN 49,3,0,"Kevin Huber punts 51 yards, touchback.",-0.130,-0.280
1,6:43,1,10,NYJ 20,3,0,Ty Montgomery up the middle for 7 yards (tackle by Geno Atkins and Germaine Pratt),0.280,0.680
1,6:08,2,3,NYJ 27,3,0,Sam Darnold pass complete short middle to Ty Montgomery for 1 yard (tackle by Nick Vigil),0.680,0.100
1,5:31,3,2,NYJ 28,3,0,Sam Darnold sacked by Carlos Dunlap for -8 yards,0.100,-2.030
1,4:50,4,10,NYJ 20,3,0,"Lac Edwards punts 41 yards, returned by Alex Erickson for -1 yards (tackle by Darryl Roberts)",-2.030,-1.470
1,4:43,1,10,CIN 38,3,0,Joe Mixon right tackle for 5 yards (tackle by Neville Hewitt and Jamal Adams),1.470,1.600
1,4:05,2,5,CIN 43,3,0,Andy Dalton pass complete short left to Tyler Boyd for 6 yards (tackle by Arthur Maulet),1.600,2.190
1,3:20,1,10,CIN 49,3,0,Joe Mixon right guard for 6 yards (tackle by Neville Hewitt),2.190,2.460
1,2:35,2,4,NYJ 45,3,0,Andy Dalton pass incomplete deep right intended for Tyler Boyd,2.460,1.750
1,2:29,,,,,,Timeout #1 by Cincinnati Bengals,,
1,2:29,3,4,NYJ 45,3,0,Andy Dalton pass complete short left to Tyler Boyd for 10 yards (tackle by Arthur Maulet),1.750,3.250
1,1:59,1,10,NYJ 35,3,0,Andy Dalton pass complete deep left to Auden Tate for 18 yards (tackle by Marcus Maye),3.250,4.440
1,1:17,1,10,NYJ 17,3,6,"Andy Dalton pass complete short middle to Tyler Boyd for 17 yards, touchdown",4.440,7.000
1,1:12,,,NYJ 15,3,7,Randy Bullock kicks extra point good,0.000,0.000
1,1:12,,,CIN 35,3,7,"Randy Bullock kicks off 68 yards, returned by Ty Montgomery for 19 yards (tackle by Brandon Wilson and Clayton Fejedelem). Penalty on Darryl Roberts: Offensive Holding, 8 yards",0.000,-0.380
