Quarter,Time,Down,ToGo,Location,ARI,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Ryan Succop kicks off 63 yards, returned by Steve Breaston for 24 yards (tackle by Andy Studebaker)",0.000,1.000
1,14:55,1,10,ARI 31,0,0,Derek Anderson pass complete short left to Larry Fitzgerald for 17 yards (tackle by Kendrick Lewis),1.000,2.130
1,14:23,1,10,ARI 48,0,0,Derek Anderson pass complete short left to Steve Breaston for 12 yards (tackle by Jovan Belcher),2.130,2.920
1,13:45,1,10,KAN 40,0,0,Beanie Wells left end for 5 yards (tackle by Jovan Belcher and Derrick Johnson),2.920,3.050
1,13:03,2,5,KAN 35,0,0,Derek Anderson pass incomplete short right intended for Jim Dray,3.050,2.340
1,12:59,3,5,KAN 35,0,0,Derek Anderson pass complete short right to Steve Breaston for 15 yards (tackle by Brandon Flowers),2.340,4.240
1,12:21,1,10,KAN 20,0,0,"Penalty on Larry Fitzgerald: False Start, 5 yards (no play)",4.240,3.910
1,12:01,1,15,KAN 25,0,0,Tim Hightower middle for no gain (tackle by Glenn Dorsey),3.910,3.020
1,11:17,2,15,KAN 25,0,0,Derek Anderson pass complete short right to Early Doucet for 7 yards (tackle by Eric Berry and Jovan Belcher),3.020,3.220
1,10:33,3,8,KAN 18,0,0,Derek Anderson pass incomplete short right intended for Early Doucet,3.220,2.250
1,10:28,4,8,KAN 18,3,0,Jay Feely 36 yard field goal good,2.250,3.000
1,10:28,,,ARI 30,3,0,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
1,10:24,1,10,KAN 20,3,0,Thomas Jones middle for 3 yards (tackle by Bryan Robinson),0.280,0.140
1,9:52,2,7,KAN 23,3,0,Thomas Jones right end for 12 yards (tackle by Kerry Rhodes),0.140,1.270
1,9:10,1,10,KAN 35,3,0,Matt Cassel pass complete short left to Jake O'Connell for 6 yards (tackle by Joey Porter),1.270,1.530
1,8:33,2,4,KAN 41,3,0,Matt Cassel pass incomplete short left intended for Jamaal Charles,1.530,0.830
1,8:30,3,4,KAN 41,3,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,0.830,-0.650
1,8:25,4,4,KAN 41,3,0,"Dustin Colquitt punts 59 yards, touchback",-0.650,-0.280
1,8:15,1,10,ARI 20,3,0,Tim Hightower left end for 16 yards (tackle by Kendrick Lewis),0.280,1.330
1,7:35,1,10,ARI 36,3,0,Derek Anderson pass complete short right to Early Doucet for 6 yards (tackle by Brandon Flowers),1.330,1.600
1,6:56,2,4,ARI 42,3,0,Tim Hightower middle for 3 yards (tackle by Glenn Dorsey and Shaun Smith),1.600,1.290
1,6:17,3,1,ARI 45,3,0,Tim Hightower left guard for no gain (tackle by Tamba Hali),1.290,-0.390
1,5:27,4,1,ARI 45,3,0,"Ben Graham punts 55 yards, touchback",-0.390,-0.280
1,5:16,1,10,KAN 20,3,0,Thomas Jones middle for 28 yards (tackle by Will Davis),0.280,2.130
1,4:35,1,10,KAN 48,3,0,Thomas Jones middle for 1 yard (tackle by Darnell Dockett),2.130,1.720
1,4:00,2,9,KAN 49,3,0,Thomas Jones middle for -3 yards (tackle by Adrian Wilson),1.720,0.630
1,3:19,3,12,KAN 46,3,0,Matt Cassel pass complete short left to Terrance Copper for 5 yards (tackle by Michael Adams),0.630,0.000
1,2:43,4,7,ARI 49,3,0,"Dustin Colquitt punts 41 yards, fair catch by Andre Roberts",0.000,0.380
1,2:35,1,10,ARI 8,3,0,Beanie Wells right tackle for 6 yards (tackle by Jovan Belcher and Brandon Flowers),-0.380,-0.320
1,2:35,2,4,ARI 14,3,0,"Penalty on Jim Dray: False Start, 5 yards (no play)",-0.320,-0.710
1,1:30,2,9,ARI 9,3,0,"Beanie Wells right guard for 3 yards (tackle by Wallace Gilberry and Ron Edwards). Penalty on Lyle Sendlein: Personal Foul, 6 yards",-0.710,-1.650
1,0:52,3,12,ARI 6,3,0,Derek Anderson pass incomplete deep left intended for Steve Breaston (defended by Brandon Carr),-1.650,-2.490
1,0:46,4,12,ARI 6,3,0,"Ben Graham punts 49 yards, returned by Javier Arenas for 17 yards (tackle by Hamza Abdullah)",-2.490,-3.050
1,0:33,1,10,ARI 38,3,0,Matt Cassel pass complete deep middle to Dwayne Bowe for 37 yards (tackle by Paris Lenon),3.050,6.970
Quarter,Time,Down,ToGo,Location,ARI,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,ARI 1,3,0,Thomas Jones left tackle for no gain (tackle by Calais Campbell),6.970,5.910
2,14:22,2,1,ARI 1,3,0,Jackie Battle middle for no gain (tackle by Adrian Wilson),5.910,5.170
2,13:38,2,1,ARI 1,3,0,Timeout #1 by Kansas City Chiefs,5.910,5.170
2,13:38,3,1,ARI 1,3,6,"Matt Cassel pass complete short left to Dwayne Bowe for 1 yard, touchdown",5.170,7.000
2,13:38,,,ARI 2,3,7,Ryan Succop kicks extra point good,0.000,0.000
2,13:38,,,KAN 30,3,7,"Ryan Succop kicks off 78 yards, touchback",0.000,0.280
2,13:35,1,10,ARI 20,3,7,Derek Anderson pass incomplete deep right intended for Larry Fitzgerald,0.280,-0.270
2,13:28,2,10,ARI 20,3,7,Beanie Wells middle for 1 yard (tackle by Mike Vrabel),-0.270,-0.820
2,12:42,2,10,ARI 20,3,7,Timeout #1 by Arizona Cardinals,-0.270,-0.820
2,12:42,3,9,ARI 21,3,7,Derek Anderson pass complete short right to Tim Hightower for 8 yards (tackle by Eric Berry),-0.820,-1.440
2,12:35,4,1,ARI 29,3,7,Ben Graham punts 39 yards,-1.440,-1.070
2,12:26,1,10,KAN 32,3,7,Thomas Jones middle for 4 yards (tackle by Joey Porter),1.070,1.070
2,11:50,2,6,KAN 36,3,7,"Jamaal Charles left end for no gain (tackle by Trumaine McBride and Paris Lenon). Penalty on Joey Porter: Defensive Offside, 5 yards (no play)",1.070,1.740
2,11:50,2,1,KAN 41,3,7,"Matt Cassel pass complete short left to Jake O'Connell for 18 yards (tackle by Gerald Hayes). Penalty on Gerald Hayes: Unnecessary Roughness, 15 yards",1.740,3.840
2,11:09,1,10,ARI 26,3,7,Matt Cassel pass complete short middle to Jamaal Charles for 25 yards (tackle by Michael Adams),3.840,6.970
