Quarter,Time,Tm,Detail,ARI,KAN
1.0,10:24,Cardinals,Jay Feely 36 yard field goal,3,0
2.0,13:35,Chiefs,Dwayne Bowe 1 yard pass from Matt Cassel (Ryan Succop kick),3,7
,10:14,Chiefs,Thomas Jones 1 yard rush (Ryan Succop kick),3,14
3.0,9:59,Chiefs,Thomas Jones 3 yard rush (Ryan Succop kick),3,21
,4:55,Cardinals,Jay Feely 29 yard field goal,6,21
4.0,8:12,Chiefs,Ryan Succop 23 yard field goal,6,24
,4:20,Chiefs,Dwayne Bowe 38 yard pass from Matt Cassel (Ryan Succop kick),6,31
,0:00,Cardinals,Larry Fitzgerald 3 yard pass from Derek Anderson (Jay Feely kick),13,31
