Unnamed: 0,ARI,KAN
First Downs,19,17
Rush-Yds-TDs,20-101-0,29-159-2
Cmp-Att-Yd-TD-INT,25-46-295-1-0,15-24-193-2-0
Sacked-Yards,2-14,0-0
Net Pass Yards,281,193
Total Yards,382,352
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,11-96,5-23
Third Down Conv.,4-15,4-11
Fourth Down Conv.,1-2,0-1
Time of Possession,32:22,27:38
