Unnamed: 0,CHI,DEN
First Downs,19,18
Rush-Yds-TDs,33-106-1,21-200-0
Cmp-Att-Yd-TD-INT,15-33-126-0-0,19-36-176-1-0
Sacked-Yards,2-15,2-11
Net Pass Yards,111,165
Total Yards,217,365
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,6-29,8-114
Third Down Conv.,4-17,4-12
Fourth Down Conv.,3-3,0-1
Time of Possession,32:43,27:17
