Quarter,Time,Tm,Detail,CHI,DEN
1.0,3:59,Broncos,Rod Smith 1 yard pass from Jake Plummer (Jason Elam kick),0,7
,1:31,Bears,Paul Edinger 33 yard field goal,3,7
2.0,1:57,Bears,Paul Edinger 23 yard field goal,6,7
,0:03,Bears,Paul Edinger 54 yard field goal,9,7
3.0,11:41,Broncos,Jason Elam 25 yard field goal,9,10
4.0,12:45,Bears,Kordell Stewart 1 yard rush (Paul Edinger kick),16,10
,8:46,Bears,Paul Edinger 47 yard field goal,19,10
