Unnamed: 0,NOR,TAM
First Downs,20,21
Rush-Yds-TDs,20-70-1,25-117-0
Cmp-Att-Yd-TD-INT,29-45-383-1-3,23-41-303-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,383,303
Total Yards,453,420
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,7-53,7-64
Third Down Conv.,5-12,4-14
Fourth Down Conv.,0-1,0-0
Time of Possession,28:33,31:27
