Quarter,Time,Tm,Detail,MIN,TEN
1.0,10:04,Titans,Rob Bironas 20 yard field goal,0,3
,4:05,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),0,10
2.0,14:53,Vikings,Adrian Peterson 28 yard rush (Ryan Longwell kick),7,10
,10:19,Titans,Rob Bironas 32 yard field goal,7,13
,3:42,Titans,LenDale White 1 yard rush (Rob Bironas kick),7,20
,0:48,Vikings,Ryan Longwell 42 yard field goal,10,20
3.0,6:54,Titans,Rob Bironas 49 yard field goal,10,23
4.0,6:00,Vikings,Adrian Peterson 3 yard rush (Ryan Longwell kick),17,23
,3:40,Titans,Chris Johnson 6 yard rush (Rob Bironas kick),17,30
