Quarter,Time,Tm,Detail,LAR,ARI
1.0,7:07,Cardinals,Zane Gonzalez 36 yard field goal,0,3
,3:59,Rams,Robert Woods 4 yard rush (Greg Zuerlein kick),7,3
2.0,11:56,Rams,Jared Goff 1 yard rush (Greg Zuerlein kick),14,3
,9:40,Cardinals,David Johnson 32 yard pass from Larry Fitzgerald (Zane Gonzalez kick failed),14,9
,2:10,Rams,C.J. Anderson 4 yard rush (Greg Zuerlein kick),21,9
3.0,5:37,Rams,Greg Zuerlein 21 yard field goal,24,9
4.0,9:19,Rams,Robert Woods 39 yard pass from Jared Goff (Greg Zuerlein kick),31,9
