Unnamed: 0,LAR,ARI
First Downs,33,15
Rush-Yds-TDs,41-269-3,18-104-0
Cmp-Att-Yd-TD-INT,19-24-216-1-0,18-31-182-1-0
Sacked-Yards,2-24,4-23
Net Pass Yards,192,159
Total Yards,461,263
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-66,7-54
Third Down Conv.,6-9,2-11
Fourth Down Conv.,0-0,1-2
Time of Possession,37:04,22:56
