#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:05,LAR 41,8,4:58,23,Field Goal
2,1,3:59,ARI 25,3,1:34,5,Punt
3,2,11:56,ARI 25,5,2:16,75,Touchdown
4,2,2:10,ARI 25,8,1:57,39,Missed FG
5,3,15:00,ARI 25,7,3:08,30,Punt
6,3,5:37,ARI 25,3,1:36,1,Punt
7,3,0:22,ARI 17,9,3:48,31,Punt
8,4,9:19,ARI 25,3,1:08,-3,Punt
9,4,5:22,ARI 7,8,2:31,83,Downs
