Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,C.J. Anderson up the middle for 6 yards (tackle by Antoine Bethea),0.610,0.870
1,14:17,2,4,LAR 31,0,0,Jared Goff pass complete short left to Josh Reynolds for 18 yards (tackle by Tre Boston),0.870,2.190
1,13:38,1,10,LAR 49,0,0,C.J. Anderson up the middle for 6 yards (tackle by Chandler Jones),2.190,2.460
1,12:54,2,4,ARI 45,0,0,Jared Goff pass incomplete short right intended for C.J. Anderson (defended by Benson Mayowa),2.460,1.750
1,12:50,3,4,ARI 45,0,0,Jared Goff pass complete short right to Gerald Everett for 5 yards (tackle by Antoine Bethea),1.750,2.920
1,12:12,1,10,ARI 40,0,0,"Jared Goff sacked by Benson Mayowa for -15 yards. Jared Goff fumbles (forced by Benson Mayowa), recovered by Deone Bucannon at LA-45 and returned for 4 yards (tackle by C.J. Anderson)",2.920,-2.850
1,12:05,1,10,LAR 41,0,0,"David Johnson up the middle for 3 yards (tackle by Michael Brockers). Penalty on Colby Gossett: Offensive Holding, 10 yards",2.850,2.390
1,11:43,1,17,LAR 48,0,0,Josh Rosen pass complete short left to Larry Fitzgerald for 7 yards (tackle by Cory Littleton),2.390,2.310
1,11:03,2,10,LAR 41,0,0,Josh Rosen pass complete short left to Larry Fitzgerald for 6 yards (tackle by Marcus Peters),2.310,2.410
1,10:23,3,4,LAR 35,0,0,Josh Rosen left end for 15 yards (tackle by Cory Littleton),2.410,4.240
1,9:44,1,10,LAR 20,0,0,"Penalty on Colby Gossett: False Start, 5 yards (no play)",4.240,3.910
1,9:22,1,15,LAR 25,0,0,Josh Rosen sacked by Aaron Donald for -7 yards,3.910,2.070
1,8:37,2,22,LAR 32,0,0,Josh Rosen pass complete short middle to Chad Williams for 7 yards (tackle by Mark Barron),2.070,2.340
1,7:51,3,15,LAR 25,0,0,Josh Rosen pass complete short middle to Larry Fitzgerald for 7 yards (tackle by John Johnson),2.340,2.250
1,7:11,4,8,LAR 18,0,3,Zane Gonzalez 36 yard field goal good,2.250,3.000
1,7:07,,,ARI 35,0,3,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,7:07,1,10,LAR 25,0,3,C.J. Anderson up the middle for 6 yards (tackle by David Amerson and Haason Reddick),0.610,0.870
1,6:27,2,4,LAR 31,0,3,"Brandin Cooks right end for 17 yards (tackle by Tre Boston). Penalty on Tre Boston: Lowering the Head to Initiate Contact, 15 yards",0.870,3.120
1,6:10,1,10,ARI 37,0,3,Jared Goff pass incomplete deep right intended for Robert Woods (defended by Antoine Bethea),3.120,2.570
1,6:04,2,10,ARI 37,0,3,Jared Goff pass complete short left to Robert Woods for 6 yards (tackle by Budda Baker),2.570,2.680
1,5:20,3,4,ARI 31,0,3,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Deone Bucannon),2.680,4.240
1,4:47,1,10,ARI 20,0,3,Jared Goff pass complete short right to Tyler Higbee for 16 yards (tackle by Deone Bucannon),4.240,6.280
1,4:03,1,4,ARI 4,6,3,"Robert Woods right end for 4 yards, touchdown",6.280,7.000
1,3:59,,,ARI 15,7,3,Greg Zuerlein kicks extra point good,0.000,0.000
1,3:59,,,LAR 35,7,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,3:59,1,10,ARI 25,7,3,David Johnson up the middle for 2 yards (tackle by Aaron Donald),0.610,0.330
1,3:21,2,8,ARI 27,7,3,Josh Rosen pass complete short middle to Ricky Seals-Jones for 3 yards (tackle by Mark Barron),0.330,0.040
1,2:41,3,5,ARI 30,7,3,Josh Rosen pass incomplete short right intended for David Johnson (defended by Cory Littleton),0.040,-1.370
1,2:37,4,5,ARI 30,7,3,Andy Lee punts 54 yards downed by Gerald Hodges,-1.370,0.140
1,2:25,1,10,LAR 16,7,3,Jared Goff pass incomplete short left,-0.140,-0.660
1,2:20,2,10,LAR 16,7,3,"Jared Goff pass incomplete short right intended for Gerald Everett. Penalty on Antoine Bethea: Defensive Holding, 5 yards (no play)",-0.660,0.340
1,2:15,1,10,LAR 21,7,3,C.J. Anderson up the middle for 3 yards (tackle by David Amerson),0.340,0.210
1,1:37,2,7,LAR 24,7,3,C.J. Anderson up the middle for 10 yards (tackle by Antoine Bethea),0.210,1.200
1,0:56,1,10,LAR 34,7,3,John Kelly up the middle for 4 yards (tackle by Benson Mayowa),1.200,1.200
1,0:15,2,6,LAR 38,7,3,John Kelly up the middle for 7 yards (tackle by David Amerson and Gerald Hodges),1.200,1.930
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 45,7,3,Jared Goff pass incomplete short left intended for Gerald Everett,1.930,1.380
2,14:55,2,10,LAR 45,7,3,Jared Goff pass complete short middle to Gerald Everett for 9 yards (tackle by Antoine Bethea),1.380,1.880
2,14:13,3,1,ARI 46,7,3,"Penalty on Deone Bucannon: Neutral Zone Infraction, 5 yards (no play)",1.880,2.850
2,13:49,1,10,ARI 41,7,3,C.J. Anderson right tackle for 27 yards (tackle by Patrick Peterson),2.850,4.650
2,13:04,1,10,ARI 14,7,3,C.J. Anderson up the middle for 9 yards (tackle by Haason Reddick),4.650,5.670
2,12:22,2,1,ARI 5,7,3,John Kelly right tackle for 4 yards (tackle by Deone Bucannon),5.670,6.970
2,11:59,1,1,ARI 1,13,3,"Jared Goff right tackle for 1 yard, touchdown",6.970,7.000
2,11:56,,,ARI 15,14,3,Greg Zuerlein kicks extra point good,0.000,0.000
2,11:56,,,LAR 35,14,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,11:56,1,10,ARI 25,14,3,Josh Rosen pass complete short right to Larry Fitzgerald for 2 yards (tackle by Cory Littleton),0.610,0.330
2,11:25,2,8,ARI 27,14,3,"Josh Rosen pass incomplete short middle intended for Jermaine Gresham. Penalty on Cory Littleton: Defensive Pass Interference, 11 yards (no play)",0.330,1.470
2,11:21,1,10,ARI 38,14,3,Josh Rosen right end for 14 yards (tackle by Mark Barron),1.470,2.390
2,10:43,1,10,LAR 48,14,3,Josh Rosen pass incomplete short left intended for Chad Williams,2.390,1.850
2,10:38,2,10,LAR 48,14,3,Josh Rosen left tackle for 16 yards (tackle by Cory Littleton),1.850,3.450
2,9:47,,,,,,Timeout #1 by Arizona Cardinals,,
2,9:47,1,10,LAR 32,14,9,"Larry Fitzgerald pass complete deep right to David Johnson for 32 yards, touchdown",3.450,7.000
2,9:40,,,LAR 15,14,9,Zane Gonzalez kicks extra point no good wide right,0.000,-1.000
2,9:40,,,ARI 35,14,9,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,9:40,1,10,LAR 25,14,9,C.J. Anderson right tackle for -6 yards (tackle by Benson Mayowa),0.610,-0.810
2,8:55,2,16,LAR 19,14,9,Jared Goff pass complete short right to Gerald Everett for 6 yards (tackle by Haason Reddick),-0.810,-0.620
2,8:12,3,10,LAR 25,14,9,Jared Goff pass complete deep right to Brandin Cooks for 18 yards (tackle by Patrick Peterson),-0.620,1.800
2,7:33,1,10,LAR 43,14,9,Brandin Cooks right end for 8 yards (tackle by Haason Reddick),1.800,2.330
2,6:54,2,2,ARI 49,14,9,C.J. Anderson left tackle for 6 yards (tackle by Corey Peters),2.330,2.720
2,6:09,1,10,ARI 43,14,9,C.J. Anderson right tackle for 7 yards (tackle by Rodney Gunter),2.720,3.120
2,5:34,2,3,ARI 36,14,9,C.J. Anderson up the middle for 2 yards (tackle by David Amerson),3.120,2.680
2,4:54,3,1,ARI 34,14,9,Brandin Cooks left end for 2 yards (tackle by Tre Boston),2.680,3.450
2,4:18,1,10,ARI 32,14,9,Jared Goff pass complete short left to Robert Woods for 13 yards (tackle by Budda Baker),3.450,4.310
2,3:35,1,10,ARI 19,14,9,C.J. Anderson up the middle for 4 yards (tackle by Budda Baker),4.310,4.350
2,2:59,2,6,ARI 15,14,9,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Deone Bucannon),4.350,6.280
2,2:15,1,4,ARI 4,20,9,"C.J. Anderson up the middle for 4 yards, touchdown",6.280,7.000
2,2:10,,,ARI 15,21,9,Greg Zuerlein kicks extra point good,0.000,0.000
2,2:10,,,LAR 35,21,9,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,2:10,1,10,ARI 25,21,9,Chase Edmonds up the middle for -4 yards (tackle by Aaron Donald),0.610,-0.480
2,2:00,2,14,ARI 21,21,9,"Josh Rosen pass complete short right to Trent Sherfield for 5 yards (tackle by Aqib Talib). Penalty on Samson Ebukam: Roughing the Passer, 15 yards",-0.480,1.660
2,1:54,1,10,ARI 41,21,9,Josh Rosen pass incomplete deep right intended for Jalen Tolliver,1.660,1.120
2,1:47,2,10,ARI 41,21,9,Josh Rosen pass complete short middle to Larry Fitzgerald for 18 yards (tackle by Nickell Robey-Coleman),1.120,2.850
2,1:23,1,10,LAR 41,21,9,Josh Rosen pass complete short left to Chase Edmonds for 1 yard (tackle by Cory Littleton),2.850,2.440
2,0:57,2,9,LAR 40,21,9,Josh Rosen pass incomplete short right intended for Larry Fitzgerald (defended by Aqib Talib),2.440,1.750
2,0:52,3,9,LAR 40,21,9,Josh Rosen right end for 4 yards (tackle by Cory Littleton),1.750,0.880
2,0:17,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:17,4,5,LAR 36,21,9,Zane Gonzalez 54 yard field goal no good,0.880,-1.860
2,0:13,1,10,LAR 44,21,9,Jared Goff pass complete short right to Robert Woods for 9 yards,1.860,2.530
2,0:08,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:08,2,1,ARI 47,21,9,C.J. Anderson up the middle for 8 yards (tackle by Deone Bucannon and Rodney Gunter),2.530,2.980
2,0:04,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:04,1,10,ARI 39,21,9,Greg Zuerlein 57 yard field goal no good,2.980,1.990
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,21,9,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
