Unnamed: 0,NOR,CAR
First Downs,21,18
Rush-Yds-TDs,27-149-1,22-132-1
Cmp-Att-Yd-TD-INT,22-29-220-3-0,19-33-184-0-3
Sacked-Yards,1-7,4-28
Net Pass Yards,213,156
Total Yards,362,288
Fumbles-Lost,0-0,2-0
Turnovers,0,3
Penalties-Yards,1-10,1-5
Third Down Conv.,6-12,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:09,28:51
