Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CAR 25,0,0,Cam Newton pass complete short left to Christian McCaffrey for 7 yards (tackle by Kenny Vaccaro),0.610,1.010
1,14:30,2,3,CAR 32,0,0,Jonathan Stewart left guard for 5 yards (tackle by Kenny Vaccaro and A.J. Klein),1.010,1.400
1,13:53,1,10,CAR 37,0,0,Cam Newton pass complete short right to Christian McCaffrey for 4 yards (tackle by A.J. Klein and Alex Anzalone),1.400,1.400
1,13:13,2,6,CAR 41,0,0,Christian McCaffrey left end for 7 yards (tackle by Marcus Williams and Vonn Bell),1.400,2.130
1,12:41,1,10,CAR 48,0,0,Jonathan Stewart left end for 17 yards (tackle by Ken Crawley and Marcus Williams),2.130,3.250
1,12:06,1,10,NOR 35,0,0,Jonathan Stewart middle for 4 yards (tackle by David Onyemata and David Parry),3.250,3.240
1,11:38,2,6,NOR 31,0,0,Jonathan Stewart right end for 5 yards (tackle by Manti Te'o),3.240,3.200
1,11:02,3,1,NOR 26,0,0,Jonathan Stewart middle for 1 yard (tackle by Manti Te'o and Alex Anzalone),3.200,3.910
1,10:36,1,10,NOR 25,0,0,Christian McCaffrey left end for 5 yards (tackle by Cameron Jordan and Manti Te'o),3.910,4.040
1,9:53,2,5,NOR 20,0,0,Christian McCaffrey middle for 2 yards (tackle by Cameron Jordan),4.040,3.660
1,9:15,3,3,NOR 18,0,0,Cam Newton pass complete short right to Kelvin Benjamin for 4 yards (tackle by P.J. Williams),3.660,4.650
1,8:31,1,10,NOR 14,0,0,Jonathan Stewart left guard for 4 yards (tackle by Cameron Jordan and A.J. Klein),4.650,4.710
1,7:47,2,6,NOR 10,0,0,Jonathan Stewart right end for 2 yards (tackle by Alex Anzalone),4.710,4.280
1,7:02,3,4,NOR 8,0,0,Cam Newton sacked by Cameron Jordan for -6 yards,4.280,2.510
1,6:23,4,10,NOR 14,0,3,Graham Gano 32 yard field goal good,2.510,3.000
1,6:19,,,CAR 35,0,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,6:19,1,10,NOR 25,0,3,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by Daryl Worley),0.610,0.870
1,5:50,2,4,NOR 31,0,3,Mark Ingram left tackle for 5 yards (tackle by Luke Kuechly and Mario Addison),0.870,1.330
1,5:21,1,10,NOR 36,0,3,Drew Brees pass incomplete short left intended for Mark Ingram,1.330,0.790
1,5:15,2,10,NOR 36,0,3,Mark Ingram left tackle for 2 yards (tackle by Mario Addison),0.790,0.370
1,4:40,3,8,NOR 38,0,3,Drew Brees pass complete short middle to Michael Thomas for 16 yards (tackle by James Bradberry),0.370,2.520
1,4:07,1,10,CAR 46,0,3,Tommylee Lewis right end for 8 yards (tackle by Shaq Thompson),2.520,3.060
1,3:32,2,2,CAR 38,0,3,Adrian Peterson left guard for 5 yards (tackle by Daryl Worley),3.060,3.380
1,2:55,1,10,CAR 33,0,3,Drew Brees pass complete short right to Michael Thomas for 11 yards (tackle by James Bradberry and Thomas Davis),3.380,4.110
1,2:17,1,10,CAR 22,0,3,Drew Brees pass incomplete deep left intended for Michael Hoomanawanui,4.110,3.560
1,2:12,2,10,CAR 22,0,3,Adrian Peterson right end for 6 yards (tackle by Daryl Worley),3.560,3.740
1,1:41,3,4,CAR 16,0,3,Drew Brees pass complete short right to Michael Thomas for 12 yards (tackle by Kurt Coleman and Captain Munnerlyn),3.740,6.280
1,1:03,1,4,CAR 4,0,3,Adrian Peterson right tackle for -1 yards (tackle by Shaq Thompson and Luke Kuechly),6.280,5.150
1,0:29,2,5,CAR 5,6,3,"Drew Brees pass complete short right to Michael Thomas for 5 yards, touchdown. Penalty on Daryl Worley: Defensive Pass Interference (Declined)",5.150,7.000
1,0:22,,,CAR 15,7,3,Wil Lutz kicks extra point good,0.000,0.000
1,0:22,,,NOR 35,7,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,0:22,1,10,CAR 25,7,3,Cam Newton pass complete short left to Kelvin Benjamin for 4 yards (tackle by Ken Crawley),0.610,0.600
Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CAR 29,7,3,Jonathan Stewart middle for 5 yards (tackle by Manti Te'o),0.600,0.560
2,14:23,3,1,CAR 34,7,3,Cam Newton middle for 3 yards (tackle by Alex Okafor),0.560,1.400
2,13:42,1,10,CAR 37,7,3,Curtis Samuel left end for 31 yards (tackle by Kenny Vaccaro),1.400,3.450
2,12:49,1,10,NOR 32,7,3,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",3.450,3.120
2,12:40,1,15,NOR 37,7,3,Cam Newton pass complete short right to Christian McCaffrey for 4 yards (tackle by Kenny Vaccaro and Alex Okafor),3.120,2.770
2,12:08,2,11,NOR 33,7,3,Jonathan Stewart right guard for 5 yards (tackle by Tyeler Davison),2.770,2.740
2,11:31,3,6,NOR 28,7,3,Cam Newton pass complete short left to Curtis Samuel for -2 yards (tackle by Ken Crawley),2.740,1.410
2,10:52,4,8,NOR 30,7,6,Graham Gano 48 yard field goal good,1.410,3.000
2,10:46,,,CAR 35,7,6,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
