Unnamed: 0,ARI,MIN
First Downs,13,28
Rush-Yds-TDs,21-53-0,20-80-1
Cmp-Att-Yd-TD-INT,16-27-196-1-0,36-47-446-2-2
Sacked-Yards,6-24,3-19
Net Pass Yards,172,427
Total Yards,225,507
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,7-39,11-65
Third Down Conv.,3-13,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,27:13,38:05
