Unnamed: 0,TEN,MIA
First Downs,22,20
Rush-Yds-TDs,29-83-2,31-158-2
Cmp-Att-Yd-TD-INT,23-38-327-1-1,23-33-240-0-0
Sacked-Yards,1-7,5-32
Net Pass Yards,320,208
Total Yards,403,366
Fumbles-Lost,3-2,2-1
Turnovers,3,1
Penalties-Yards,9-59,7-61
Third Down Conv.,5-13,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,27:36,32:24
