Unnamed: 0,SEA,SFO
First Downs,19,21
Rush-Yds-TDs,34-147-1,27-87-0
Cmp-Att-Yd-TD-INT,24-34-232-1-1,24-46-248-1-1
Sacked-Yards,5-43,5-33
Net Pass Yards,189,215
Total Yards,336,302
Fumbles-Lost,5-3,2-2
Turnovers,4,3
Penalties-Yards,9-75,5-40
Third Down Conv.,7-15,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,35:19,34:41
