Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
1,2:32,1,10,PIT 37,0,7,"Le'Veon Bell right tackle for 10 yards (tackle by Marcus Cooper). Penalty on PIT: Illegal Shift, 5 yards (no play)",1.400,1.070
1,2:06,1,15,PIT 32,0,7,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant,1.070,0.180
1,2:01,2,15,PIT 32,0,7,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,0.180,-0.490
1,1:55,3,15,PIT 32,0,7,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 14 yards (tackle by Bryce Callahan and Danny Trevathan),-0.490,-0.320
1,1:13,4,1,PIT 46,0,7,"Jordan Berry punts 36 yards, fair catch by Tarik Cohen",-0.320,-0.040
1,1:06,1,10,CHI 18,0,7,Mike Glennon pass incomplete short left intended for Michael Burton,0.040,-0.490
1,0:58,2,10,CHI 18,0,7,Jordan Howard left tackle for 2 yards (tackle by Tyson Alualu),-0.490,-0.910
1,0:20,3,8,CHI 20,0,7,"Mike Glennon pass incomplete deep middle intended for Markus Wheaton (defended by Artie Burns). Penalty on Cameron Heyward: Roughing the Passer, 15 yards (no play)",-0.910,1.270
1,0:15,1,10,CHI 35,0,7,"Tarik Cohen right end for 1 yard (tackle by J.J. Wilcox). Penalty on Adam Shaheen: Illegal Block Above the Waist, 10 yards",1.270,0.670
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,19,CHI 26,0,7,Mike Glennon sacked by Anthony Chickillo for -10 yards,0.670,-2.000
2,14:18,2,29,CHI 16,0,7,Mike Glennon pass complete short right to Jordan Howard for 4 yards (tackle by Ryan Shazier),-2.000,-1.950
2,13:38,3,25,CHI 20,0,7,Mike Glennon pass complete short right to Jordan Howard for 10 yards (tackle by Ryan Shazier),-1.950,-1.370
2,13:04,4,15,CHI 30,0,7,"Pat O'Donnell punts 62 yards, returned by Eli Rogers for 15 yards (tackle by Sam Acho)",-1.370,-0.480
2,12:53,1,10,PIT 23,0,7,Ben Roethlisberger pass complete short left to Antonio Brown for 7 yards (tackle by Bryce Callahan),0.480,0.880
2,12:18,2,3,PIT 30,0,7,Ben Roethlisberger pass complete short right to Martavis Bryant for 13 yards,0.880,1.800
2,11:44,1,10,PIT 43,0,7,Ben Roethlisberger pass complete short middle to Antonio Brown for 5 yards (tackle by Prince Amukamara),1.800,1.930
2,11:12,2,5,PIT 48,0,7,Le'Veon Bell right guard for 5 yards (tackle by Danny Trevathan),1.930,2.460
2,10:27,1,10,CHI 47,0,7,Ben Roethlisberger pass complete short left to Le'Veon Bell for 9 yards (tackle by Bryce Callahan),2.460,3.130
2,9:48,2,1,CHI 38,0,7,Le'Veon Bell right guard for 9 yards (tackle by Pernell McPhee),3.130,3.640
2,9:11,1,10,CHI 29,0,7,"Ben Roethlisberger pass complete short left to Martavis Bryant for 7 yards (tackle by Pernell McPhee). Penalty on PIT: Illegal Formation, 5 yards (no play)",3.640,3.310
2,8:39,1,15,CHI 34,0,7,Ben Roethlisberger pass complete short right to Jesse James for 14 yards (tackle by Kyle Fuller),3.310,4.320
2,7:51,2,1,CHI 20,0,7,Ben Roethlisberger pass incomplete deep middle intended for JuJu Smith-Schuster (defended by Prince Amukamara),4.320,3.600
2,7:46,3,1,CHI 20,0,7,Terrell Watson left guard for 3 yards (tackle by Willie Young and Danny Trevathan),3.600,4.440
2,7:06,1,10,CHI 17,0,7,Ben Roethlisberger pass complete short right to Antonio Brown for 8 yards (tackle by Danny Trevathan),4.440,5.290
2,6:25,2,2,CHI 9,0,7,Le'Veon Bell right guard for 2 yards (tackle by Eddie Goldman),5.290,0.000
2,5:52,,,,,,Timeout #1 by Pittsburgh Steelers,0.000,-5.600
2,5:52,1,7,CHI 7,0,7,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,5.600,4.760
2,5:47,2,7,CHI 7,6,7,"Ben Roethlisberger pass complete short left to Antonio Brown for 7 yards, touchdown",4.760,7.000
2,5:42,,,CHI 15,7,7,Chris Boswell kicks extra point good,0.000,0.000
2,5:42,,,PIT 35,7,7,"Chris Boswell kicks off 69 yards, returned by Deonte Thompson for 29 yards (tackle by Mike Hilton)",0.000,-0.610
2,5:37,1,10,CHI 25,7,7,Mike Glennon pass incomplete deep left intended for Markus Wheaton (defended by Artie Burns),0.610,0.060
2,5:30,2,10,CHI 25,7,7,Jordan Howard left guard for 8 yards (tackle by Mike Mitchell),0.060,0.430
2,4:55,3,2,CHI 33,7,7,Jordan Howard right tackle for 9 yards (tackle by Mike Mitchell),0.430,1.730
2,4:10,1,10,CHI 42,7,7,Tarik Cohen left tackle for 26 yards (tackle by Mike Mitchell),1.730,3.450
2,3:34,1,10,PIT 32,7,7,"Mike Glennon for 3 yards. Mike Glennon fumbles, recovered by Mike Glennon at PIT-34",3.450,2.770
2,3:34,2,11,PIT 33,7,7,"Mike Glennon pass incomplete deep right intended for Dion Sims (defended by J.J. Wilcox). Penalty on Kendall Wright: Illegal Motion, 5 yards (no play)",2.770,2.090
2,2:47,2,16,PIT 38,7,7,Mike Glennon pass complete deep left to Zach Miller for 17 yards (tackle by Artie Burns),2.090,4.170
2,2:00,1,10,PIT 21,7,7,Jordan Howard right guard for 6 yards (tackle by Vince Williams),4.170,4.550
2,1:27,2,4,PIT 15,7,7,Jordan Howard right tackle for 13 yards (tackle by Mike Mitchell),4.550,6.740
2,0:47,1,2,PIT 2,7,13,"Mike Glennon pass complete short left to Adam Shaheen for 2 yards, touchdown",6.740,7.000
2,0:43,,,PIT 15,7,14,Connor Barth kicks extra point good,0.000,0.000
2,0:43,,,CHI 35,7,14,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,0:43,1,10,PIT 25,7,14,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Kyle Fuller),0.610,0.060
2,0:36,2,10,PIT 25,7,14,Ben Roethlisberger pass complete deep right to Martavis Bryant for 17 yards (tackle by Eddie Jackson),0.060,0.000
2,0:27,,,,,,Timeout #2 by Pittsburgh Steelers,0.000,-1.730
2,0:27,1,10,PIT 42,7,14,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant (defended by Prince Amukamara),1.730,1.190
2,0:18,2,10,PIT 42,7,14,"Penalty on Antonio Brown: False Start, 5 yards (no play)",1.190,0.510
2,0:17,2,15,PIT 37,7,14,Ben Roethlisberger pass complete deep right to Antonio Brown for 22 yards,0.510,2.850
2,0:13,1,10,CHI 41,7,14,Ben Roethlisberger pass complete deep middle to Antonio Brown for 23 yards (tackle by Quintin Demps),2.850,0.000
2,0:06,,,,,,Timeout #3 by Pittsburgh Steelers,0.000,-4.370
2,0:06,1,10,CHI 18,7,14,"Chris Boswell 35 yard field goal no good, blocked by Sherrick McManis. Penalty on Jordan Berry: Illegal Bat",4.370,-6.970
2,0:00,1,1,PIT 1,7,14,"Penalty on Charles Leno: False Start, 4 yards (no play)",6.970,6.060
2,0:00,1,5,PIT 5,7,17,Connor Barth 24 yard field goal good,6.060,3.000
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,7,17,"Chris Boswell kicks off 65 yards, returned by Deonte Thompson for 22 yards (tackle by Coty Sensabaugh)",0.000,-0.410
3,14:52,1,10,CHI 22,7,17,Mike Glennon pass complete short right to Jordan Howard for 2 yards (tackle by Bud Dupree),0.410,0.140
3,14:16,2,8,CHI 24,7,17,Tarik Cohen right end for -4 yards (tackle by Bud Dupree),0.140,-1.090
3,13:50,3,12,CHI 20,7,17,Mike Glennon pass incomplete short middle intended for Zach Miller (defended by William Gay),-1.090,-2.030
3,13:45,4,12,CHI 20,7,17,"Pat O'Donnell punts 53 yards, returned by Eli Rogers for no gain",-2.030,-0.740
3,13:35,1,10,PIT 27,7,17,Le'Veon Bell right guard for 4 yards (tackle by Akiem Hicks),0.740,0.740
3,12:54,2,6,PIT 31,7,17,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 4 yards (tackle by Danny Trevathan),0.740,0.560
3,12:08,3,2,PIT 35,7,17,Ben Roethlisberger pass complete short right to Antonio Brown for 10 yards (tackle by Marcus Cooper),0.560,1.930
3,11:32,1,10,PIT 45,7,17,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by Kyle Fuller),1.930,2.590
3,10:39,1,10,CHI 45,7,17,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,2.590,2.040
3,10:36,2,10,CHI 45,7,17,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant,2.040,1.360
3,10:29,3,10,CHI 45,7,17,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster. Penalty on David DeCastro: Offensive Holding (Declined),1.360,0.270
3,10:22,4,10,CHI 45,7,17,"Jordan Berry punts 45 yards, touchback",0.270,-0.280
3,10:13,1,10,CHI 20,7,17,Jordan Howard right end for 5 yards (tackle by Cameron Heyward),0.280,0.410
3,9:34,2,5,CHI 25,7,17,"Jordan Howard left guard for -4 yards (tackle by Ryan Shazier). Jordan Howard fumbles (forced by Ryan Shazier), recovered by Ryan Shazier at CHI-21 and returned for 5 yards (tackle by Charles Leno)",0.410,-4.510
3,9:25,1,10,CHI 16,7,17,Le'Veon Bell left guard for 4 yards (tackle by Danny Trevathan),4.510,4.570
3,8:41,2,6,CHI 12,7,17,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant (defended by Marcus Cooper),4.570,3.730
3,8:36,3,6,CHI 12,7,17,Ben Roethlisberger left guard for 6 yards (tackle by Quintin Demps),3.730,5.830
3,7:46,1,6,CHI 6,7,17,Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by John Timu),5.830,4.950
3,7:41,2,6,CHI 6,7,17,Le'Veon Bell left tackle for 5 yards (tackle by John Timu and Akiem Hicks),4.950,5.170
3,6:55,3,1,CHI 1,7,17,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Marcus Cooper). Penalty on Marcus Cooper: Defensive Holding (no play),5.170,6.970
3,6:49,1,1,CHI 1,13,17,"Le'Veon Bell left guard for 1 yard, touchdown",6.970,7.000
3,6:43,,,CHI 15,14,17,Chris Boswell kicks extra point good,0.000,0.000
3,6:43,,,PIT 35,14,17,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,6:43,1,10,CHI 25,14,17,Jordan Howard left end for 17 yards (tackle by Mike Mitchell),0.610,1.730
3,6:11,1,10,CHI 42,14,17,Tarik Cohen right guard for -1 yards (tackle by Javon Hargrave),1.730,1.050
3,5:34,2,11,CHI 41,14,17,Mike Glennon pass complete short left to Tarik Cohen for 7 yards (tackle by Artie Burns),1.050,1.290
3,4:59,3,4,CHI 48,14,17,Mike Glennon pass complete short left to Benny Cunningham for 4 yards (tackle by Vince Williams),1.290,2.390
3,4:11,1,10,PIT 48,14,17,Tarik Cohen left guard for no gain (tackle by Leterrius Walton),2.390,1.850
3,3:34,2,10,PIT 48,14,17,Mike Glennon pass complete short middle to Tarik Cohen for 8 yards (tackle by Leterrius Walton),1.850,2.210
3,2:49,3,2,PIT 40,14,17,Jordan Howard left end for 15 yards (tackle by Mike Mitchell and J.J. Wilcox),2.210,3.910
3,2:13,1,10,PIT 25,14,17,Jordan Howard right tackle for -4 yards (tackle by Bud Dupree),3.910,2.820
3,2:13,2,14,PIT 29,14,17,Mike Glennon sacked by Javon Hargrave for -7 yards,2.820,1.220
3,0:49,3,21,PIT 36,14,17,"Mike Glennon pass incomplete deep right intended for Josh Bellamy. Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",1.220,-0.100
3,0:43,3,31,PIT 46,14,17,Tarik Cohen left guard for 4 yards (tackle by Mike Hilton),-0.100,0.460
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,27,PIT 42,14,17,Penalty on John Timu: False Start (Declined),0.460,0.460
4,15:00,4,27,PIT 42,14,17,"Pat O'Donnell punts 32 yards, fair catch by Eli Rogers",0.460,0.380
4,14:51,1,10,PIT 10,14,17,Le'Veon Bell left guard for 2 yards (tackle by Jonathan Bullard),-0.380,-0.630
4,14:12,2,8,PIT 12,14,17,Ben Roethlisberger pass complete short left to Le'Veon Bell for 12 yards (tackle by Danny Trevathan),-0.630,0.540
4,13:29,1,10,PIT 24,14,17,Le'Veon Bell right end for 1 yard (tackle by Jonathan Bullard),0.540,0.130
4,12:52,2,9,PIT 25,14,17,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 25 yards (tackle by Prince Amukamara),0.130,2.260
4,12:21,1,10,,14,17,Ben Roethlisberger pass complete short right to Jesse James for 5 yards (tackle by Mitch Unrein),2.260,2.390
4,11:42,2,5,CHI 45,14,17,Le'Veon Bell right guard for 2 yards (tackle by Pernell McPhee),2.390,1.950
4,11:03,3,3,CHI 43,14,17,Ben Roethlisberger sacked by Pernell McPhee for -3 yards,1.950,0.200
4,10:22,4,6,CHI 46,14,17,"Jordan Berry punts 37 yards, fair catch by Tarik Cohen",0.200,0.380
4,10:15,1,10,CHI 9,14,17,Jordan Howard left guard for no gain (tackle by Ryan Shazier),-0.380,-0.780
4,9:46,2,10,CHI 9,14,17,Tarik Cohen left tackle for 3 yards (tackle by Bud Dupree),-0.780,-1.070
4,9:05,3,7,CHI 12,14,17,Mike Glennon pass incomplete short right intended for Zach Miller is intercepted by J.J. Wilcox at CHI-21,-1.070,-4.170
4,8:57,1,10,CHI 21,14,17,Ben Roethlisberger pass incomplete short right intended for Le'Veon Bell,4.170,3.630
4,8:53,2,10,CHI 21,14,17,Le'Veon Bell left guard for 7 yards (tackle by Danny Trevathan),3.630,4.020
4,8:12,3,3,CHI 14,14,17,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant (defended by Marcus Cooper),4.020,2.610
4,8:07,4,3,CHI 14,17,17,Chris Boswell 32 yard field goal good,2.610,3.000
4,8:03,,,PIT 35,17,17,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
4,8:03,1,10,CHI 25,17,17,Mike Glennon pass complete short left to Jordan Howard for 6 yards (tackle by Ryan Shazier),0.610,0.870
4,7:18,2,4,CHI 31,17,17,"Penalty on Bradley Sowell: False Start, 5 yards (no play)",0.870,0.200
4,6:57,2,9,CHI 26,17,17,Jordan Howard left end for -2 yards (tackle by Ryan Shazier),0.200,-0.760
4,6:14,3,11,CHI 24,17,17,"Penalty on Bradley Sowell: False Start, 5 yards (no play)",-0.760,-1.510
4,5:56,3,16,CHI 19,17,17,Mike Glennon pass complete short right to Deonte Thompson for 9 yards (tackle by J.J. Wilcox),-1.510,-1.500
4,5:20,4,7,CHI 28,17,17,"Pat O'Donnell punts 34 yards, out of bounds",-1.500,-1.470
4,5:12,1,10,PIT 38,17,17,"Le'Veon Bell right tackle for 6 yards (tackle by Adrian Amos). Penalty on Chris Hubbard: Offensive Holding, 10 yards (no play)",1.470,0.810
4,4:39,1,20,PIT 28,17,17,Le'Veon Bell right guard for 13 yards (tackle by Danny Trevathan),0.810,1.330
4,3:50,2,7,PIT 41,17,17,Ben Roethlisberger pass complete short right to Le'Veon Bell for 1 yard (tackle by Kyle Fuller),1.330,0.760
4,3:46,3,6,PIT 42,17,17,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Kyle Fuller),0.760,-0.590
4,3:41,4,6,PIT 42,17,17,"Jordan Berry punts 39 yards, returned by Tarik Cohen for 28 yards (tackle by Darrius Heyward-Bey). Penalty on Roy Robertson-Harris: Offensive Holding, 9 yards",-0.590,0.380
4,3:26,1,10,CHI 9,17,17,Jordan Howard left tackle for 1 yard (tackle by Cameron Heyward),-0.380,-0.710
4,2:51,2,9,CHI 10,17,17,Mike Glennon pass complete short middle to Jordan Howard for 4 yards (tackle by Ryan Shazier),-0.710,0.000
4,2:41,,,,,,Timeout #1 by Pittsburgh Steelers,0.000,0.840
4,2:41,3,5,CHI 14,17,17,Mike Glennon pass complete short left to Benny Cunningham for 11 yards (tackle by William Gay),-0.840,0.610
4,2:33,1,10,CHI 25,17,17,Mike Glennon pass complete short middle to Tarik Cohen for 9 yards (tackle by Daniel McCullers),0.610,1.280
4,2:00,2,1,CHI 34,17,17,"Tarik Cohen right guard for 4 yards (tackle by Ryan Shazier). Tarik Cohen fumbles (forced by Ryan Shazier), recovered by Bobby Massie at CHI-39",1.280,1.530
4,1:23,1,10,CHI 39,17,17,Mike Glennon pass incomplete short right intended for Deonte Thompson (defended by Mike Mitchell),1.530,0.990
4,1:19,2,10,CHI 39,17,17,Mike Glennon for no gain. Cody Whitehair fumbles,0.990,0.300
4,1:11,3,10,CHI 39,17,17,Mike Glennon pass complete short right to Benny Cunningham for 8 yards (tackle by Mike Mitchell),0.300,0.000
4,1:00,,,,,,Timeout #2 by Pittsburgh Steelers,0.000,0.260
4,1:00,4,2,CHI 47,17,17,"Pat O'Donnell punts 38 yards, fair catch by Eli Rogers",-0.260,0.220
4,0:52,1,10,PIT 15,17,17,Ben Roethlisberger pass complete short left to Le'Veon Bell for 4 yards (tackle by Prince Amukamara and Leonard Floyd),-0.220,-0.110
4,0:27,2,6,PIT 19,17,17,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by Danny Trevathan),-0.110,0.000
4,0:22,,,,,,Timeout #3 by Pittsburgh Steelers,0.000,-1.070
4,0:22,1,10,PIT 32,17,17,Ben Roethlisberger sacked by Willie Young for -8 yards,1.070,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
,,,,,,,"Bears won the coin toss, Bears to receive the overtime kickoff.",,
OT,10:00,,,PIT 35,17,17,"Chris Boswell kicks off 57 yards, returned by Deonte Thompson for 18 yards (tackle by Anthony Chickillo)",0.000,-0.670
OT,9:53,1,10,CHI 26,17,17,Jordan Howard right end for 1 yard (tackle by Tyson Alualu),0.670,0.270
OT,9:14,2,9,CHI 27,17,17,Tarik Cohen for 36 yards,0.270,3.120
OT,8:51,1,10,PIT 37,17,17,Jordan Howard left end for 18 yards (tackle by Mike Mitchell),3.120,0.000
OT,8:34,,,,,,Timeout #1 by Chicago Bears,0.000,-4.310
OT,8:34,1,10,PIT 19,17,23,"Jordan Howard left tackle for 19 yards, touchdown",4.310,7.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
