Unnamed: 0,PIT,CHI
First Downs,19,18
Rush-Yds-TDs,17-70-1,38-222-2
Cmp-Att-Yd-TD-INT,22-39-235-1-0,15-22-101-1-1
Sacked-Yards,3-23,2-17
Net Pass Yards,212,84
Total Yards,282,306
Fumbles-Lost,2-2,5-1
Turnovers,2,2
Penalties-Yards,6-40,10-73
Third Down Conv.,4-11,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,27:34,33:59
