Unnamed: 0,CHI,GNB
First Downs,24,19
Rush-Yds-TDs,42-199-0,21-81-0
Cmp-Att-Yd-TD-INT,19-28-242-1-2,21-29-283-5-0
Sacked-Yards,0-0,1-1
Net Pass Yards,242,282
Total Yards,441,363
Fumbles-Lost,2-0,1-0
Turnovers,2,0
Penalties-Yards,6-28,0-0
Third Down Conv.,6-12,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,35:48,24:12
