Quarter,Time,Tm,Detail,CHI,GNB
1.0,10:26,Packers,Jermichael Finley 2 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,1:56,Bears,Robbie Gould 35 yard field goal,3,7
,0:16,Packers,James Jones 2 yard pass from Aaron Rodgers (Mason Crosby kick),3,14
3.0,11:35,Bears,Edwin Williams fumble recovery in end zone (Robbie Gould kick),10,14
,10:02,Packers,Jordy Nelson 55 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
,1:54,Packers,James Jones 7 yard pass from Aaron Rodgers (Mason Crosby kick),10,28
4.0,14:53,Packers,Jordy Nelson 2 yard pass from Aaron Rodgers (Mason Crosby kick),10,35
,7:54,Bears,Kellen Davis 1 yard pass from Josh McCown (Josh McCown run),18,35
,1:11,Bears,Robbie Gould 30 yard field goal,21,35
