Quarter,Time,Tm,Detail,DEN,KAN
1.0,9:05,Chiefs,Nick Novak 23 yard field goal,0,3
,4:38,Chiefs,Nick Novak 21 yard field goal,0,6
2.0,8:53,Broncos,Brandon Marshall 16 yard pass from Jay Cutler (Matt Prater kick),7,6
,2:43,Chiefs,Larry Johnson 1 yard rush (Nick Novak kick),7,13
,0:11,Broncos,Matt Prater 56 yard field goal,10,13
3.0,12:13,Broncos,Matt Prater 51 yard field goal,13,13
,8:43,Chiefs,Nick Novak 43 yard field goal,13,16
4.0,12:40,Chiefs,Tony Gonzalez 10 yard pass from Damon Huard (Nick Novak kick),13,23
,7:58,Broncos,Matt Prater 22 yard field goal,16,23
,3:49,Chiefs,Nick Novak 33 yard field goal,16,26
,2:06,Broncos,Matt Prater 33 yard field goal,19,26
,1:37,Chiefs,Larry Johnson 16 yard rush (Nick Novak kick),19,33
