Unnamed: 0,TEN,CLE
First Downs,21,19
Rush-Yds-TDs,28-123-1,20-102-1
Cmp-Att-Yd-TD-INT,14-24-248-3-0,25-38-285-1-3
Sacked-Yards,4-32,5-41
Net Pass Yards,216,244
Total Yards,339,346
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,6-54,18-182
Third Down Conv.,2-10,1-10
Fourth Down Conv.,0-0,0-2
Time of Possession,29:18,30:42
