Unnamed: 0,ATL,TAM
First Downs,5,21
Rush-Yds-TDs,20-106-0,48-190-1
Cmp-Att-Yd-TD-INT,4-15-34-0-2,15-25-109-1-1
Sacked-Yards,1-7,2-14
Net Pass Yards,27,95
Total Yards,133,285
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,5-48,5-44
Third Down Conv.,0-9,9-19
Fourth Down Conv.,0-0,2-2
Time of Possession,17:01,42:59
