Quarter,Time,Tm,Detail,TEN,DEN
1.0,12:37,Titans,Shonn Greene 1 yard rush (Rob Bironas kick),7,0
,7:28,Broncos,Wes Welker 1 yard pass from Peyton Manning (Matt Prater kick),7,7
,7:01,Titans,Chris Johnson 3 yard rush (Rob Bironas kick),14,7
,0:25,Broncos,Matt Prater 25 yard field goal,14,10
2.0,6:58,Titans,Shonn Greene 28 yard rush (Rob Bironas kick),21,10
,1:50,Broncos,Julius Thomas 8 yard pass from Peyton Manning (Matt Prater kick),21,17
,0:00,Broncos,Matt Prater 64 yard field goal,21,20
3.0,11:52,Broncos,Demaryius Thomas 4 yard pass from Peyton Manning (Matt Prater kick),21,27
,7:34,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),21,34
,4:50,Titans,Justin Hunter 41 yard pass from Ryan Fitzpatrick (Rob Bironas kick),28,34
4.0,13:15,Broncos,Matt Prater 19 yard field goal,28,37
,9:12,Broncos,Eric Decker 20 yard pass from Peyton Manning (Matt Prater kick),28,44
,3:07,Broncos,Montee Ball 5 yard rush (Matt Prater kick),28,51
