Unnamed: 0,TEN,DEN
First Downs,15,39
Rush-Yds-TDs,22-96-3,32-154-2
Cmp-Att-Yd-TD-INT,13-24-172-1-1,39-59-397-4-0
Sacked-Yards,2-14,0-0
Net Pass Yards,158,397
Total Yards,254,551
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,8-66,7-60
Third Down Conv.,2-9,5-13
Fourth Down Conv.,2-3,3-3
Time of Possession,20:40,39:20
