Unnamed: 0,MIN,BAL
First Downs,15,23
Rush-Yds-TDs,25-114-1,27-97-0
Cmp-Att-Yd-TD-INT,17-38-265-2-0,28-50-245-3-3
Sacked-Yards,0-0,2-17
Net Pass Yards,265,228
Total Yards,379,325
Fumbles-Lost,3-1,1-0
Turnovers,1,3
Penalties-Yards,6-90,5-45
Third Down Conv.,5-17,6-16
Fourth Down Conv.,1-1,1-3
Time of Possession,27:48,32:12
