Unnamed: 0,TAM,DAL
First Downs,16,24
Rush-Yds-TDs,20-52-0,32-185-2
Cmp-Att-Yd-TD-INT,17-35-247-2-3,32-36-279-0-0
Sacked-Yards,4-23,3-15
Net Pass Yards,224,264
Total Yards,276,449
Fumbles-Lost,2-1,2-1
Turnovers,4,1
Penalties-Yards,3-35,8-91
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,23:56,36:04
