Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Roberto Aguayo kicks off 64 yards, returned by Lucky Whitehead for 23 yards (tackle by Chris Conte)",0.000,-0.540
1,14:54,1,10,DAL 24,0,0,Ezekiel Elliott middle for 5 yards (tackle by Lavonte David),0.540,0.670
1,14:21,2,5,DAL 29,0,0,Dak Prescott pass complete short middle to Dez Bryant for 6 yards (tackle by Kwon Alexander),0.670,1.270
1,13:48,1,10,DAL 35,0,0,Ezekiel Elliott right tackle for 7 yards (tackle by Bradley McDougald),1.270,1.670
1,13:13,2,3,DAL 42,0,0,Dak Prescott pass complete short right to Terrance Williams for 8 yards (tackle by Brent Grimes),1.670,2.260
1,12:42,1,10,,0,0,Ezekiel Elliott middle for 13 yards (tackle by Keith Tandy),2.260,3.120
1,12:03,1,10,TAM 37,0,0,Dak Prescott pass complete short right to Dez Bryant for 8 yards (tackle by Brent Grimes),3.120,3.650
1,11:26,2,2,TAM 29,0,0,"Ezekiel Elliott right end for 1 yard (tackle by Kwon Alexander). Penalty on Vince Mayle: Offensive Holding, 10 yards",3.650,2.440
1,11:05,2,11,TAM 38,0,0,Dak Prescott sacked by William Gholston for -6 yards,2.440,0.960
1,10:25,3,17,TAM 44,0,0,Dak Prescott pass complete short middle to Jason Witten for 6 yards (tackle by Lavonte David and Kwon Alexander),0.960,0.000
1,9:51,,,,0,0,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.720
1,9:51,4,11,TAM 38,0,0,Dan Bailey 56 yard field goal no good,0.720,-1.990
1,9:46,1,10,TAM 46,0,0,Jameis Winston pass incomplete short right intended for Luke Stocker,1.990,1.450
1,9:40,2,10,TAM 46,0,0,Doug Martin right tackle for 8 yards (tackle by Barry Church),1.450,1.820
1,9:06,3,2,DAL 46,0,0,"Jameis Winston pass incomplete deep right intended for Mike Evans. Penalty on Brandon Carr: Defensive Pass Interference, 21 yards (no play)",1.820,3.910
1,9:00,1,10,DAL 25,0,0,Doug Martin left tackle for 3 yards (tackle by Barry Church and Sean Lee),3.910,3.770
1,8:26,2,7,DAL 22,0,0,Doug Martin left end for 6 yards (tackle by Barry Church),3.770,4.060
1,7:54,3,1,DAL 16,0,0,Doug Martin middle for 2 yards (tackle by Sean Lee),4.060,4.650
1,7:23,1,10,DAL 14,0,0,Doug Martin left tackle for no gain (tackle by Benson Mayowa),4.650,4.000
1,6:45,2,10,DAL 14,0,0,Jameis Winston pass complete short middle to Adam Humphries for 7 yards (tackle by Byron Jones),4.000,4.500
1,6:06,3,3,DAL 7,0,0,Jameis Winston pass incomplete short middle intended for Cameron Brate (defended by Byron Jones),4.500,2.990
1,5:58,4,3,DAL 7,3,0,Roberto Aguayo 25 yard field goal good,2.990,3.000
1,5:54,,,TAM 35,3,0,"Roberto Aguayo kicks off 63 yards, returned by Lucky Whitehead for 24 yards (tackle by Adarius Glanton)",0.000,-0.670
1,5:48,1,10,DAL 26,3,0,Dak Prescott pass complete short right to Jason Witten for 8 yards (tackle by Bradley McDougald and Kwon Alexander),0.670,1.210
1,5:12,2,2,DAL 34,3,0,Ezekiel Elliott left guard for -2 yards (tackle by Javien Elliott),1.210,0.230
1,4:36,3,4,DAL 32,3,0,Dak Prescott pass complete short left to Cole Beasley for 22 yards (tackle by Vernon Hargreaves),0.230,2.520
1,3:54,1,10,TAM 46,3,0,Dak Prescott pass complete short right to Ezekiel Elliott for 11 yards (tackle by Keith Tandy),2.520,3.250
1,3:11,1,10,TAM 35,3,0,Ezekiel Elliott left tackle for 3 yards (tackle by Kwon Alexander and William Gholston),3.250,3.110
1,2:29,2,7,TAM 32,3,0,Dak Prescott pass complete short right to Cole Beasley for 1 yard (tackle by Javien Elliott),3.110,2.540
1,1:55,3,6,TAM 31,3,0,Dak Prescott pass complete short right to Lance Dunbar for 15 yards (tackle by Lavonte David),2.540,4.510
1,1:27,1,10,TAM 16,3,0,Dak Prescott pass incomplete short left intended for Cole Beasley,4.510,3.900
1,1:19,2,10,TAM 16,3,0,"Dak Prescott pass complete short right to Dez Bryant for 5 yards (tackle by Brent Grimes and Lavonte David). Penalty on Doug Free: Face Mask (15 Yards), 15 yards (no play)",3.900,1.930
1,1:09,2,25,TAM 31,3,0,Ezekiel Elliott middle for 10 yards (tackle by Bradley McDougald),1.930,2.610
1,0:25,3,15,TAM 21,3,0,Dak Prescott pass complete short middle to Ezekiel Elliott for 12 yards (tackle by Lavonte David and Javien Elliott),2.610,2.930
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,TAM 9,3,3,Dan Bailey 27 yard field goal good,2.930,3.000
2,14:56,,,DAL 35,3,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,14:56,1,10,TAM 25,3,3,"Jameis Winston sacked by Terrell McClain for -7 yards. Jameis Winston fumbles (forced by Terrell McClain), recovered by Maliek Collins at TAM-14 (tackle by Luke Stocker)",0.610,-4.650
2,14:45,1,10,TAM 14,3,3,Ezekiel Elliott left tackle for 7 yards (tackle by Bradley McDougald),4.650,5.280
2,14:45,2,3,TAM 7,3,3,Ezekiel Elliott middle for 2 yards (tackle by Sealver Siliga),5.280,4.960
2,13:26,3,1,TAM 5,3,3,Darren McFadden right guard for 3 yards (tackle by Kwon Alexander),4.960,0.000
2,12:43,,,,3,3,Timeout #2 by Tampa Bay Buccaneers,0.000,-6.740
2,12:43,1,2,TAM 2,3,3,Dak Prescott pass incomplete short right intended for Dez Bryant (defended by Brent Grimes),6.740,5.720
2,12:38,2,2,TAM 2,3,9,"Ezekiel Elliott left tackle for 2 yards, touchdown. Penalty on Ezekiel Elliott: Unsportsmanlike Conduct, 15 yards",5.720,7.000
2,12:34,,,TAM 15,3,10,Dan Bailey kicks extra point good,0.000,0.000
2,12:34,,,DAL 20,3,10,"Dan Bailey kicks off 70 yards, returned by Josh Huff for 12 yards (tackle by Kavon Frazier)",0.000,-0.410
2,12:27,1,10,TAM 22,3,10,Doug Martin right tackle for 4 yards (tackle by Benson Mayowa and Sean Lee),0.410,0.410
2,12:01,2,6,TAM 26,3,10,Jameis Winston pass incomplete short middle intended for Mike Evans,0.410,-0.290
2,11:55,3,6,TAM 26,3,10,Jameis Winston pass incomplete deep left intended for Charles Sims,-0.290,-1.630
2,11:45,4,6,TAM 26,3,10,"Bryan Anger punts 38 yards, fair catch by Lucky Whitehead",-1.630,-1.330
2,11:37,1,10,DAL 36,3,10,Lucky Whitehead for 3 yards (tackle by Keith Tandy),1.330,1.200
2,11:07,2,7,DAL 39,3,10,Darren McFadden left tackle for 7 yards (tackle by Keith Tandy and Kwon Alexander),1.200,1.990
2,10:25,1,10,DAL 46,3,10,Dak Prescott pass complete short right to Darren McFadden for -2 yards (tackle by Kwon Alexander),1.990,1.180
