Quarter,Time,Tm,Detail,TAM,DAL
1.0,5:54,Buccaneers,Roberto Aguayo 25 yard field goal,3,0
2.0,14:56,Cowboys,Dan Bailey 27 yard field goal,3,3
,12:34,Cowboys,Ezekiel Elliott 2 yard rush (Dan Bailey kick),3,10
,6:24,Cowboys,Dak Prescott 2 yard rush (Dan Bailey kick),3,17
,1:52,Buccaneers,Roberto Aguayo 34 yard field goal,6,17
3.0,11:44,Buccaneers,Adam Humphries 42 yard pass from Jameis Winston (Roberto Aguayo kick),13,17
,4:12,Buccaneers,Cameron Brate 10 yard pass from Jameis Winston (Roberto Aguayo kick),20,17
4.0,13:31,Cowboys,Dan Bailey 40 yard field goal,20,20
,9:35,Cowboys,Dan Bailey 38 yard field goal,20,23
,2:58,Cowboys,Dan Bailey 33 yard field goal,20,26
