Unnamed: 0,CLE,PIT
First Downs,17,20
Rush-Yds-TDs,27-102-1,28-124-2
Cmp-Att-Yd-TD-INT,16-30-314-2-1,23-27-239-1-1
Sacked-Yards,6-42,3-15
Net Pass Yards,272,224
Total Yards,374,348
Fumbles-Lost,1-1,4-1
Turnovers,2,2
Penalties-Yards,9-77,3-15
Third Down Conv.,7-15,3-10
Fourth Down Conv.,0-1,0-2
Time of Possession,30:55,29:05
