Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 11 yards (tackle by Luke Kuechly),0.610,1.330
1,14:17,1,10,DEN 36,0,0,Trevor Siemian pass incomplete short right intended for C.J. Anderson,1.330,0.790
1,14:13,2,10,DEN 36,0,0,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders,0.790,0.100
1,14:08,3,10,DEN 36,0,0,Trevor Siemian pass complete short left to Virgil Green for 12 yards,0.100,2.130
1,13:42,1,10,DEN 48,0,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 5 yards (tackle by Robert McClain),2.130,2.260
1,13:01,2,5,CAR 47,0,0,C.J. Anderson middle for 13 yards (tackle by James Bradberry),2.260,3.310
1,12:23,1,10,CAR 34,0,0,C.J. Anderson right guard for 5 yards (tackle by Robert McClain),3.310,3.450
1,11:47,2,5,CAR 29,0,0,"Devontae Booker right guard for no gain (tackle by Charles Johnson). Devontae Booker fumbles (forced by Charles Johnson), recovered by Shaq Thompson at CAR-29 (tackle by Devontae Booker)",3.450,-0.870
1,11:37,1,10,CAR 29,0,0,Jonathan Stewart middle for 6 yards (tackle by Brandon Marshall),0.870,1.140
1,11:01,2,4,CAR 35,0,0,Jonathan Stewart left end for 11 yards (tackle by Todd Davis),1.140,1.990
1,10:21,1,10,CAR 46,0,0,Mike Tolbert right guard for 1 yard (tackle by DeMarcus Ware),1.990,1.590
1,9:39,2,9,CAR 47,0,0,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by T.J. Ward),1.590,1.590
1,9:35,2,9,CAR 47,0,0,Timeout #1 by Carolina Panthers,1.590,0.890
1,9:35,3,9,CAR 47,0,0,Cam Newton pass complete deep middle to Kelvin Benjamin for 17 yards (tackle by Justin Simmons),0.890,3.180
1,8:55,1,10,DEN 36,0,0,Ted Ginn left end for 20 yards (tackle by Darian Stewart),3.180,4.510
1,8:07,1,10,DEN 16,0,0,Jonathan Stewart middle for 2 yards (tackle by Shane Ray),4.510,4.510
1,7:20,1,10,DEN 16,0,0,Timeout #2 by Carolina Panthers,4.510,4.210
1,7:20,2,8,DEN 14,6,0,"Cam Newton pass complete short right to Kelvin Benjamin for 14 yards, touchdown. Penalty on Trai Turner: Taunting, 15 yards",4.210,7.000
1,7:20,,,DEN 14,7,0,Graham Gano kicks extra point good,0.000,0.000
1,7:20,,,CAR 20,7,0,"Graham Gano kicks off 80 yards, touchback",0.000,-0.610
1,7:13,1,10,DEN 25,7,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 14 yards,0.610,1.530
1,6:48,1,10,DEN 39,7,0,C.J. Anderson middle for 3 yards (tackle by Kawann Short),1.530,1.390
1,6:19,2,7,DEN 42,7,0,Trevor Siemian pass complete short right to Demaryius Thomas for 8 yards (tackle by James Bradberry),1.390,2.260
1,5:38,1,10,,7,0,C.J. Anderson right guard for -1 yards (tackle by Luke Kuechly),2.260,1.580
1,4:58,2,11,DEN 49,7,0,Trevor Siemian pass complete short right to C.J. Anderson for 21 yards (tackle by Thomas Davis),1.580,3.580
1,4:20,1,10,CAR 30,7,0,Devontae Booker right guard for 6 yards (tackle by James Bradberry and Kurt Coleman),3.580,3.840
1,3:40,2,4,CAR 24,7,0,Devontae Booker right guard for 2 yards (tackle by Thomas Davis),3.840,3.400
1,3:00,3,2,CAR 22,7,0,Trevor Siemian pass complete short right to Demaryius Thomas for 6 yards (tackle by James Bradberry),3.400,4.510
1,2:22,1,10,CAR 16,7,0,C.J. Anderson left guard for no gain (tackle by Luke Kuechly),4.510,3.900
1,1:48,2,10,CAR 16,7,0,Trevor Siemian sacked by Vernon Butler for -9 yards,3.900,2.080
1,1:09,3,19,CAR 25,7,0,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders is intercepted by Thomas Davis at CAR-32 and returned for 4 yards,2.080,-1.330
1,1:03,1,10,CAR 36,7,0,Cam Newton pass incomplete short left intended for Kelvin Benjamin,1.330,0.790
1,0:55,2,10,CAR 36,7,0,Jonathan Stewart left guard for 4 yards (tackle by Derek Wolfe),0.790,0.630
1,0:12,3,6,CAR 40,7,0,Cam Newton pass complete short middle to Mike Tolbert for 1 yard (tackle by Darian Stewart),0.630,-0.650
Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,CAR 41,7,0,"Andy Lee punts 59 yards, touchback",-0.650,-0.280
2,14:52,1,10,DEN 20,7,0,Trevor Siemian pass complete short left to Emmanuel Sanders for 15 yards (tackle by Bene Benwikere),0.280,1.270
2,14:14,1,10,DEN 35,7,0,C.J. Anderson left tackle for 28 yards (tackle by Tre Boston),1.270,3.120
2,13:46,1,10,CAR 37,7,0,Trevor Siemian right tackle for 8 yards (tackle by Luke Kuechly),3.120,3.650
2,13:02,2,2,CAR 29,7,0,C.J. Anderson left tackle for 1 yard (tackle by Shaq Thompson),3.650,3.070
2,12:23,3,1,CAR 28,7,6,"Andy Janovich right guard for 28 yards, touchdown",3.070,7.000
2,12:23,,,CAR 28,7,7,"Brandon McManus kicks extra point good. Penalty on CAR: Defensive Offside, 5 yards",0.000,0.000
2,12:23,,,DEN 40,7,7,"Brandon McManus kicks off 58 yards, returned by Ted Ginn for 9 yards (tackle by Cody Latimer)",0.000,0.370
2,12:09,1,10,CAR 11,7,7,Cam Newton left tackle for 4 yards (tackle by Von Miller),-0.370,-0.430
2,11:28,2,6,CAR 15,7,7,Cam Newton pass incomplete short right intended for Kelvin Benjamin,-0.430,-0.430
2,11:20,2,6,CAR 15,7,7,Timeout #3 by Carolina Panthers,-0.430,-0.950
2,11:20,3,6,CAR 15,7,7,Cam Newton pass complete short left to Kelvin Benjamin for 15 yards (tackle by Darian Stewart),-0.950,-0.950
2,10:42,3,6,CAR 15,7,7,Timeout #1 by Denver Broncos,-0.950,0.940
2,10:42,1,10,CAR 30,7,7,Cam Newton left guard for 6 yards (tackle by Brandon Marshall),0.940,1.200
2,10:06,2,4,CAR 36,7,7,Jonathan Stewart middle for 3 yards (tackle by Darius Kilgo),1.200,0.890
2,9:25,3,1,CAR 39,7,7,Jonathan Stewart middle for 3 yards (tackle by Brandon Marshall),0.890,1.730
2,8:48,1,10,CAR 42,7,7,Cam Newton pass complete short left to Fozzy Whittaker for 4 yards (tackle by Brandon Marshall),1.730,1.730
2,8:12,2,6,CAR 46,7,7,Fozzy Whittaker right guard for 6 yards (tackle by T.J. Ward),1.730,2.390
2,7:34,1,10,DEN 48,7,7,Fozzy Whittaker left tackle for 4 yards (tackle by Todd Davis),2.390,2.390
2,6:53,2,6,DEN 44,7,7,Cam Newton pass incomplete short left intended for Kelvin Benjamin,2.390,2.390
2,6:50,2,6,DEN 44,7,7,Timeout #2 by Denver Broncos,2.390,1.690
2,6:50,3,6,DEN 44,7,7,Cam Newton pass complete short right to Devin Funchess for 9 yards,1.690,3.250
2,6:37,1,10,DEN 35,7,7,Jonathan Stewart right guard for no gain (tackle by Jared Crick),3.250,2.700
