Quarter,Time,Down,ToGo,Location,PIT,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SFO 25,0,0,Matt Breida up the middle for 5 yards (tackle by Devin Bush),0.610,0.740
1,14:29,2,5,SFO 30,0,0,Jimmy Garoppolo pass complete short left to George Kittle for 12 yards (tackle by Terrell Edmunds),0.740,1.730
1,13:54,1,10,SFO 42,0,0,Jimmy Garoppolo pass short right intended for Matt Breida is intercepted by T.J. Watt at SF-40 and returned for 7 yards,1.730,-3.380
1,13:47,1,10,SFO 33,0,0,Mason Rudolph pass complete short middle to James Conner for no gain (tackle by Fred Warner and Kwon Alexander),3.380,2.840
1,13:09,2,10,SFO 33,0,0,Mason Rudolph pass complete short left to JuJu Smith-Schuster for -2 yards (tackle by Ahkello Witherspoon),2.840,1.880
1,12:29,3,12,SFO 35,0,0,Mason Rudolph pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Tarvarius Moore),1.880,1.630
1,11:52,4,5,SFO 28,3,0,Chris Boswell 46 yard field goal good,1.630,3.000
1,11:47,,,PIT 35,3,0,"Chris Boswell kicks off 66 yards, returned by Richie James for 26 yards (tackle by Tyler Matakevich)",0.000,0.610
1,11:40,1,10,SFO 25,3,0,Matt Breida left tackle for 4 yards (tackle by Javon Hargrave),0.610,0.600
1,11:11,2,6,SFO 29,3,0,Matt Breida right tackle for 8 yards (tackle by Cameron Heyward),0.600,1.400
1,10:48,1,10,SFO 37,3,0,Jimmy Garoppolo sacked by Stephon Tuitt for -9 yards,1.400,-0.360
1,10:05,2,19,SFO 28,3,0,Jimmy Garoppolo pass complete short right to George Kittle for 5 yards (tackle by Devin Bush),-0.360,-0.360
1,9:25,3,14,SFO 33,3,0,Jimmy Garoppolo pass complete deep middle to Richie James for 16 yards (tackle by Steven Nelson). Penalty on Devin Bush: Illegal Use of Hands (Declined),-0.360,2.190
1,9:04,1,10,SFO 49,3,0,"Jimmy Garoppolo aborted snap, recovered by Raheem Mostert at SF-31 (tackle by Bud Dupree)",2.190,-0.780
1,8:16,2,28,SFO 31,3,0,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 13 yards (tackle by Mike Hilton and Minkah Fitzpatrick),-0.780,0.300
1,7:38,,,,,,Timeout #1 by San Francisco 49ers,,
1,7:38,3,15,SFO 44,3,0,Jimmy Garoppolo pass complete short right to George Kittle for 8 yards (tackle by Tyson Alualu),0.300,0.070
1,7:03,4,7,PIT 48,3,0,"Mitch Wishnowsky punts 48 yards, touchback.",0.070,-0.280
1,6:54,1,10,PIT 20,3,0,James Conner left guard for 5 yards (tackle by DeForest Buckner),0.280,0.410
1,6:20,2,5,PIT 25,3,0,James Conner up the middle for no gain (tackle by D.J. Jones),0.410,-0.300
1,5:43,3,5,PIT 25,3,0,Mason Rudolph pass incomplete short left intended for Diontae Johnson,-0.300,-1.700
1,5:40,4,5,PIT 25,3,0,"Jordan Berry punts 55 yards, returned by Richie James for 8 yards (tackle by Benny Snell)",-1.700,-0.810
1,5:28,1,10,SFO 28,3,0,Matt Breida right guard for -1 yards (tackle by Cameron Heyward),0.810,0.130
1,4:52,2,11,SFO 27,3,0,Jimmy Garoppolo pass short middle (defended by Joe Haden) intended for Dante Pettis is intercepted by Minkah Fitzpatrick at SF-38 and returned for 14 yards,0.130,-3.970
1,4:44,1,10,SFO 24,3,0,Mason Rudolph pass complete short right to James Washington for 8 yards (tackle by Tarvarius Moore),3.970,4.650
1,4:17,2,2,SFO 16,3,0,James Conner up the middle for 3 yards (tackle by DeForest Buckner and Dre Greenlaw),4.650,4.710
1,3:34,1,10,SFO 13,3,0,Mason Rudolph pass incomplete short left intended for JuJu Smith-Schuster,4.710,4.050
1,3:31,2,10,SFO 13,3,0,Mason Rudolph pass complete short middle to James Conner for 4 yards (tackle by DeForest Buckner),4.050,3.880
1,2:47,3,6,SFO 9,3,0,Mason Rudolph up the middle for 1 yard (tackle by DeForest Buckner),3.880,2.970
1,2:07,4,5,SFO 8,6,0,Chris Boswell 26 yard field goal good,2.970,3.000
1,2:04,,,PIT 35,6,0,"Chris Boswell kicks off 56 yards, returned by Richie James for 22 yards (tackle by Jordan Dangerfield)",0.000,1.000
1,1:59,1,10,SFO 31,6,0,Raheem Mostert left tackle for 2 yards (tackle by Mike Hilton and Cameron Heyward),1.000,0.730
1,1:17,2,8,SFO 33,6,0,Jimmy Garoppolo pass complete short right to George Kittle for 12 yards (tackle by Terrell Edmunds),0.730,1.930
1,0:55,1,10,SFO 45,6,0,Jimmy Garoppolo pass complete deep left to Kyle Juszczyk for 27 yards (tackle by Terrell Edmunds),1.930,3.710
1,0:44,1,10,PIT 28,6,0,Raheem Mostert left guard for 3 yards (tackle by T.J. Watt),3.710,3.570
Quarter,Time,Down,ToGo,Location,PIT,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PIT 25,6,0,"Raheem Mostert right tackle for 10 yards (tackle by Minkah Fitzpatrick). Raheem Mostert fumbles (forced by Minkah Fitzpatrick), recovered by Devin Bush at PIT-9 (tackle by George Kittle)",3.570,0.380
2,14:51,1,10,PIT 9,6,0,Mason Rudolph pass complete short left to Vance McDonald for 10 yards (tackle by Solomon Thomas),-0.380,0.150
2,14:12,1,10,PIT 19,6,0,James Conner left end for 5 yards (tackle by Jaquiski Tartt),0.150,0.340
2,13:30,2,5,PIT 24,6,0,Mason Rudolph pass incomplete deep left intended for Vance McDonald,0.340,-0.420
2,13:25,3,5,PIT 24,6,0,Mason Rudolph pass incomplete short right intended for Diontae Johnson,-0.420,-1.770
2,13:21,4,5,PIT 24,6,0,"Jordan Berry punts 53 yards, returned by Richie James for 15 yards (tackle by Artie Burns)",-1.770,-1.470
2,13:06,1,10,SFO 38,6,0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 22 yards (tackle by Terrell Edmunds and Devin Bush),1.470,2.920
2,12:29,1,10,PIT 40,6,0,"Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 16 yards (tackle by Joe Haden). Penalty on Minkah Fitzpatrick: Roughing the Passer, 12 yards",2.920,4.780
2,12:02,1,10,PIT 12,6,0,"Matt Breida right tackle for -1 yards (tackle by T.J. Watt). Penalty on Javon Hargrave: Defensive Holding, 5 yards (no play)",4.780,5.600
2,11:34,,,,,,Timeout #2 by San Francisco 49ers,,
2,11:34,1,7,PIT 7,6,0,Jimmy Garoppolo pass incomplete short left intended for George Kittle,5.600,4.760
2,11:29,2,7,PIT 7,6,0,"Jimmy Garoppolo aborted snap, recovered by Devin Bush at PIT-7 (tackle by Michael Person)",4.760,0.380
2,11:25,1,10,PIT 7,6,0,Mason Rudolph pass incomplete short middle intended for James Washington,-0.380,-0.780
2,11:20,2,10,PIT 7,6,0,Mason Rudolph pass incomplete short middle intended for Xavier Grimble,-0.780,-1.420
2,11:17,3,10,PIT 7,6,0,Mason Rudolph up the middle for 1 yard (tackle by Ronald Blair and DeForest Buckner),-1.420,-2.490
2,10:48,4,9,PIT 8,6,0,"Jordan Berry punts 60 yards, returned by Richie James for 14 yards (tackle by Jayrone Elliott) Penalty on PIT: Illegal Shift, 5 yards",-2.490,-2.320
2,10:37,1,10,PIT 49,6,0,Jimmy Garoppolo pass complete short middle to Dante Pettis for 8 yards (tackle by Minkah Fitzpatrick),2.320,2.860
2,9:59,2,2,PIT 41,6,0,Jimmy Garoppolo pass complete short right to Matt Breida for 15 yards (tackle by Joe Haden),2.860,3.840
2,9:35,1,10,PIT 26,6,0,Matt Breida left tackle for 4 yards (tackle by Stephon Tuitt),3.840,3.840
2,9:15,2,6,PIT 22,6,0,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by T.J. Watt),3.840,3.140
2,9:11,3,6,PIT 22,6,0,Jimmy Garoppolo pass complete short middle to George Kittle for 11 yards (tackle by Minkah Fitzpatrick),3.140,4.840
2,8:30,1,10,PIT 11,6,0,"Jeff Wilson left end for 2 yards (tackle by Bud Dupree). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (no play)",4.840,4.170
2,8:09,1,20,PIT 21,6,0,Jimmy Garoppolo pass incomplete short middle intended for Jeff Wilson,4.170,2.940
2,8:04,2,20,PIT 21,6,0,Jimmy Garoppolo pass complete short left to Matt Breida for 5 yards (tackle by Mike Hilton),2.940,2.890
2,7:28,3,15,PIT 16,6,0,Raheem Mostert right guard for 10 yards (tackle by Devin Bush),2.890,2.990
2,6:48,4,5,PIT 6,6,3,Robbie Gould 24 yard field goal good,2.990,3.000
2,6:45,,,SFO 35,6,3,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
2,6:45,1,10,PIT 25,6,3,James Conner right end for -2 yards (tackle by Kwon Alexander),0.610,-0.210
2,6:07,2,12,PIT 23,6,3,James Conner right guard for 5 yards (tackle by Jaquiski Tartt),-0.210,-0.230
2,5:24,3,7,PIT 28,6,3,Mason Rudolph pass complete short left to Diontae Johnson for 7 yards (tackle by Jaquiski Tartt),-0.230,1.270
2,4:53,1,10,PIT 35,6,3,James Conner left guard for 2 yards (tackle by D.J. Jones),1.270,0.990
2,4:17,2,8,PIT 37,6,3,Johnny Holton left end for 9 yards (tackle by Richard Sherman),0.990,1.990
2,3:46,1,10,PIT 46,6,3,Benny Snell up the middle for 4 yards (tackle by DeForest Buckner),1.990,1.990
2,3:14,2,6,PIT 50,6,3,Benny Snell up the middle for 2 yards (tackle by D.J. Jones),1.990,1.550
2,2:35,3,4,SFO 48,6,3,Mason Rudolph up the middle for 6 yards (tackle by Ahkello Witherspoon),1.550,2.790
2,2:00,1,10,SFO 42,6,3,Mason Rudolph pass incomplete short right intended for JuJu Smith-Schuster (defended by Richard Sherman),2.790,2.240
2,1:56,2,10,SFO 42,6,3,Mason Rudolph pass complete short left to Diontae Johnson for 6 yards (tackle by Kwon Alexander),2.240,2.340
2,1:12,3,4,SFO 36,6,3,Mason Rudolph sacked by Dee Ford for -5 yards,2.340,0.530
2,0:58,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:58,4,9,SFO 41,6,3,"Jordan Berry punts 41 yards, touchback.",0.530,-0.280
2,0:50,1,10,SFO 20,6,3,Jimmy Garoppolo pass complete short right to Dante Pettis for -5 yards (tackle by Joe Haden),0.280,-1.070
2,0:05,2,15,SFO 15,6,3,Matt Breida right tackle for 5 yards (tackle by Stephon Tuitt and Devin Bush),-1.070,-0.960
Quarter,Time,Down,ToGo,Location,PIT,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,6,3,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PIT 25,6,3,Diontae Johnson left end for 6 yards (tackle by Fred Warner),0.610,0.870
3,14:31,2,4,PIT 31,6,3,James Conner left end for 6 yards (tackle by Fred Warner),0.870,1.400
3,13:56,1,10,PIT 37,6,3,"Mason Rudolph pass complete short left to James Washington for 9 yards (tackle by Ahkello Witherspoon). Penalty on Alejandro Villanueva: Ineligible Downfield Pass, 5 yards (no play)",1.400,1.070
3,13:34,1,15,PIT 32,6,3,Mason Rudolph pass incomplete deep left intended for Diontae Johnson,1.070,0.180
3,13:28,2,15,PIT 32,6,3,Mason Rudolph pass short right intended for JuJu Smith-Schuster is intercepted by K'Waun Williams at PIT-42 and returned for 4 yards,0.180,-3.050
3,13:19,1,10,PIT 38,6,3,Matt Breida left tackle for 5 yards (tackle by Mark Barron),3.050,3.180
3,12:41,2,5,PIT 33,6,3,Matt Breida right end for 6 yards (tackle by T.J. Watt),3.180,3.780
3,12:01,1,10,PIT 27,6,3,Raheem Mostert right guard for 2 yards (tackle by Stephon Tuitt),3.780,3.500
3,11:26,2,8,PIT 25,6,3,Jimmy Garoppolo pass incomplete short left intended for Raheem Mostert (defended by Bud Dupree),3.500,2.810
3,11:23,3,8,PIT 25,6,3,Jimmy Garoppolo pass complete short middle to Kendrick Bourne for 22 yards (tackle by Joe Haden),2.810,6.510
3,10:43,1,3,PIT 3,6,3,Jeff Wilson up the middle for no gain (tackle by Stephon Tuitt),6.510,5.530
3,10:01,2,3,PIT 3,6,3,Jimmy Garoppolo pass complete short middle to Kyle Juszczyk for 2 yards (tackle by Stephon Tuitt),5.530,5.170
3,9:21,3,1,PIT 1,6,9,"Jeff Wilson right guard for 1 yard, touchdown",5.170,7.000
3,9:17,,,PIT 15,6,10,Robbie Gould kicks extra point good,0.000,0.000
3,9:17,,,SFO 35,6,10,"Mitch Wishnowsky kicks off 64 yards, returned by Johnny Holton for 21 yards (tackle by Azeez Al-Shaair)",0.000,0.410
3,9:11,1,10,PIT 22,6,10,Mason Rudolph pass incomplete short right intended for James Washington (defended by Richard Sherman),0.410,-0.130
3,9:08,2,10,PIT 22,6,10,James Conner left guard for 5 yards (tackle by Sheldon Day and Ronald Blair),-0.130,-0.160
3,8:26,3,5,PIT 27,6,10,Mason Rudolph pass incomplete short left intended for JuJu Smith-Schuster. Penalty on Jaylen Samuels: Illegal Formation (Declined),-0.160,-1.570
3,8:22,4,5,PIT 27,6,10,"Jordan Berry punts 59 yards, returned by Richie James for 11 yards (tackle by Olasunkanmi Adeniyi)",-1.570,-0.610
3,8:09,1,10,SFO 25,6,10,Jimmy Garoppolo pass incomplete deep right intended for Deebo Samuel,0.610,0.060
3,7:59,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,7:59,2,10,SFO 25,6,10,Matt Breida right guard for 5 yards (tackle by Devin Bush),0.060,0.040
3,7:23,3,5,SFO 30,6,10,Jimmy Garoppolo pass incomplete short middle intended for Kendrick Bourne,0.040,-1.370
3,7:20,4,5,SFO 30,6,10,"Mitch Wishnowsky punts 52 yards, fair catch by Ryan Switzer at PIT-18",-1.370,-0.040
3,7:13,1,10,PIT 18,6,10,James Conner up the middle for 1 yard (tackle by Solomon Thomas and DeForest Buckner),0.040,-0.320
3,6:37,2,9,PIT 19,6,10,Mason Rudolph pass complete short right to James Conner for 5 yards (tackle by DeForest Buckner),-0.320,-0.400
3,5:54,3,4,PIT 24,12,10,"Mason Rudolph pass complete short left to JuJu Smith-Schuster for 76 yards, touchdown",-0.400,7.000
3,5:42,,,SFO 15,13,10,Chris Boswell kicks extra point good,0.000,0.000
3,5:42,,,PIT 35,13,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,5:42,1,10,SFO 25,13,10,Raheem Mostert right guard for 9 yards (tackle by Terrell Edmunds),0.610,1.280
3,5:15,2,1,SFO 34,13,10,Raheem Mostert left guard for no gain (tackle by Bud Dupree),1.280,0.560
3,4:54,3,1,SFO 34,13,10,Jimmy Garoppolo up the middle for 2 yards (tackle by Cameron Heyward),0.560,1.330
3,4:33,1,10,SFO 36,13,10,Jimmy Garoppolo pass complete deep left to Deebo Samuel for 20 yards (tackle by Terrell Edmunds),1.330,2.650
3,3:46,1,10,PIT 44,13,10,Raheem Mostert right guard for 5 yards (tackle by Joe Haden and Devin Bush),2.650,2.780
3,3:10,2,5,PIT 39,13,10,Matt Breida left tackle for 10 yards (tackle by Steven Nelson and Terrell Edmunds),2.780,3.640
3,2:44,1,10,PIT 29,13,10,Jimmy Garoppolo pass complete short left to Deebo Samuel for 11 yards (tackle by Steven Nelson),3.640,4.370
3,2:17,1,10,PIT 18,13,10,Matt Breida up the middle for 2 yards (tackle by Joe Haden),4.370,4.090
3,1:39,2,8,PIT 16,13,10,Jimmy Garoppolo pass complete short left to Dante Pettis for 12 yards (tackle by Devin Bush),4.090,6.280
3,1:02,1,4,PIT 4,13,16,"Jeff Wilson up the middle for 4 yards, touchdown",6.280,7.000
3,0:56,,,PIT 15,13,17,Robbie Gould kicks extra point good,0.000,0.000
3,0:56,,,SFO 35,13,17,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,0:56,1,10,PIT 25,13,17,Benny Snell left guard for no gain (tackle by Kwon Alexander),0.610,0.060
3,0:20,2,10,PIT 25,13,17,Mason Rudolph pass complete short left to Xavier Grimble for 3 yards (tackle by Solomon Thomas),0.060,-0.230
Quarter,Time,Down,ToGo,Location,PIT,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,PIT 28,13,17,Mason Rudolph pass complete short right to James Washington for 6 yards (tackle by K'Waun Williams and Richard Sherman),-0.230,-1.110
4,14:13,4,1,PIT 34,13,17,"Jordan Berry punts 46 yards, returned by Richie James for 5 yards (tackle by Jayrone Elliott)",-1.110,-0.610
4,14:01,1,10,SFO 25,13,17,Matt Breida right end for 3 yards (tackle by Devin Bush),0.610,0.470
