Unnamed: 0,PIT,SFO
First Downs,11,26
Rush-Yds-TDs,22-79-0,40-168-2
Cmp-Att-Yd-TD-INT,14-27-174-2-1,23-32-277-1-2
Sacked-Yards,2-14,1-9
Net Pass Yards,160,268
Total Yards,239,436
Fumbles-Lost,2-1,4-3
Turnovers,2,5
Penalties-Yards,6-42,5-71
Third Down Conv.,3-12,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,23:43,36:17
