Quarter,Time,Tm,Detail,PIT,SFO
1.0,11:47,Steelers,Chris Boswell 46 yard field goal,3,0
,2:04,Steelers,Chris Boswell 26 yard field goal,6,0
2.0,6:45,49ers,Robbie Gould 24 yard field goal,6,3
3.0,9:17,49ers,Jeff Wilson 1 yard rush (Robbie Gould kick),6,10
,5:42,Steelers,JuJu Smith-Schuster 76 yard pass from Mason Rudolph (Chris Boswell kick),13,10
,0:56,49ers,Jeff Wilson 4 yard rush (Robbie Gould kick),13,17
4.0,10:22,Steelers,Diontae Johnson 39 yard pass from Mason Rudolph (Chris Boswell kick),20,17
,1:15,49ers,Dante Pettis 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),20,24
