Unnamed: 0,MIN,SEA
First Downs,17,24
Rush-Yds-TDs,14-78-1,43-218-2
Cmp-Att-Yd-TD-INT,22-38-276-2-1,21-31-240-2-1
Sacked-Yards,0-0,2-14
Net Pass Yards,276,226
Total Yards,354,444
Fumbles-Lost,3-2,1-1
Turnovers,3,2
Penalties-Yards,3-30,1-30
Third Down Conv.,5-10,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,20:15,39:45
