Quarter,Time,Tm,Detail,MIN,SEA
1.0,8:12,Vikings,Dalvin Cook 2 yard rush (Dan Bailey kick),7,0
,0:11,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),7,7
2.0,5:09,Vikings,Anthony Harris 20 yard interception return (Dan Bailey kick),14,7
,0:58,Seahawks,Jason Myers 29 yard field goal,14,10
,0:00,Vikings,Dan Bailey 47 yard field goal,17,10
3.0,9:02,Seahawks,Rashaad Penny 1 yard rush (Jason Myers kick),17,17
,5:46,Seahawks,Jason Myers 29 yard field goal,17,20
,0:05,Seahawks,David Moore 60 yard pass from Russell Wilson (Jason Myers kick),17,27
4.0,13:30,Seahawks,Rashaad Penny 13 yard pass from Russell Wilson (Jason Myers kick),17,34
,12:49,Vikings,Laquon Treadwell 58 yard pass from Kirk Cousins (Dan Bailey kick),24,34
,7:14,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (Dan Bailey kick failed),30,34
,0:21,Seahawks,Jason Myers 36 yard field goal,30,37
