Quarter,Time,Tm,Detail,NYJ,NWE
2.0,14:57,Patriots,Nick Folk 24 yard field goal,0,3
,9:38,Jets,Greg Zuerlein 45 yard field goal,3,3
4.0,0:05,Patriots,Marcus Jones 84 yard punt return (Nick Folk kick),3,10
