Unnamed: 0,GNB,CHI
First Downs,20,13
Rush-Yds-TDs,34-97-0,24-135-0
Cmp-Att-Yd-TD-INT,21-42-285-1-1,8-28-194-1-5
Sacked-Yards,2-9,2-13
Net Pass Yards,276,181
Total Yards,373,316
Fumbles-Lost,2-0,3-1
Turnovers,1,6
Penalties-Yards,3-35,6-44
Third Down Conv.,11-20,2-13
Fourth Down Conv.,0-0,1-1
Time of Possession,36:56,23:04
