Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
3,15:00,,,DEN 30,0,12,"Matt Prater kicks off 65 yards, returned by Lardarius Webb for 95 yards, touchdown",0.000,7.000
3,,,,DEN 2,0,13,Steven Hauschka kicks extra point good,0.000,0.000
3,,,,BAL 30,0,13,"Steven Hauschka kicks off 67 yards, returned by Eddie Royal for 11 yards (tackle by Prescott Burgess)",0.000,-0.280
3,14:46,1,10,DEN 14,0,13,Kyle Orton pass complete short right to Tony Scheffler for 9 yards (tackle by Jarret Johnson),-0.280,0.550
3,14:05,2,1,DEN 23,0,13,Knowshon Moreno right end for 8 yards (tackle by Terrell Suggs),0.550,1.000
3,13:29,1,10,DEN 31,0,13,"Kyle Orton pass incomplete deep left intended for Brandon Marshall. Penalty on Domonique Foxworth: Defensive Pass Interfere, 39 yards (no play)",1.000,3.580
3,13:19,1,10,BAL 30,0,13,Knowshon Moreno right end for 1 yard (tackle by Ray Lewis),3.580,3.170
3,12:44,2,9,BAL 29,0,13,Kyle Orton pass incomplete short left intended for Tony Scheffler (defended by Jarret Johnson),3.170,2.480
3,12:39,3,9,BAL 29,0,13,Kyle Orton pass complete short middle to Jabar Gaffney for 14 yards (tackle by Fabian Washington),2.480,4.580
3,12:04,1,10,BAL 15,0,13,Kyle Orton pass complete short middle to Peyton Hillis for 6 yards (tackle by Tavares Gooden),4.580,5.030
3,11:26,2,4,BAL 9,0,13,Knowshon Moreno left end for 3 yards (tackle by Terrell Suggs and Dwan Edwards),5.030,4.900
3,10:51,3,1,BAL 6,0,13,Kyle Orton pass incomplete short middle intended for Daniel Graham,4.900,3.020
3,10:44,,,,0,13,Timeout #1 by Denver Broncos,0.000,3.020
3,10:44,4,1,BAL 6,0,13,"Kyle Orton pass complete short right to Brandon Marshall for 2 yards (tackle by Dawan Landry). Penalty on Ed Reed: Defensive Offside, 3 yards (no play)",3.020,6.510
3,10:23,1,3,BAL 3,0,13,Knowshon Moreno middle for no gain (tackle by Justin Bannan and Haloti Ngata),6.510,5.530
3,9:50,2,3,BAL 3,0,13,"Kyle Orton pass incomplete short middle intended for Tony Scheffler. Penalty on Ray Lewis: Defensive Pass Interfere, 2 yards (no play)",5.530,6.970
3,9:48,1,1,BAL 1,6,13,"Knowshon Moreno left end for 1 yard, touchdown",6.970,7.000
3,,,,BAL 2,7,13,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,7,13,"Matt Prater kicks off 69 yards, returned by Lardarius Webb for 17 yards (tackle by Spencer Larsen)",0.000,0.040
3,9:41,1,10,BAL 18,7,13,"Joe Flacco sacked by Andra Davis for -1 yards. Penalty on Andre' Goodman: Illegal Contact, 5 yards (no play)",0.040,0.480
3,9:27,1,10,BAL 23,7,13,Ray Rice left end for 4 yards (tackle by Andra Davis),0.480,0.470
3,8:55,2,6,BAL 27,7,13,Ray Rice middle for 17 yards (tackle by Renaldo Hill),0.470,1.860
3,8:28,1,10,BAL 44,7,13,Ray Rice left guard for 2 yards (tackle by Robert Ayers),1.860,1.590
3,8:03,2,8,BAL 46,7,13,Joe Flacco pass complete short left to Mark Clayton for 17 yards (tackle by Brian Dawkins),1.590,3.120
3,7:29,1,10,DEN 37,7,13,Ray Rice middle for 6 yards (tackle by Brian Dawkins and D.J. Williams),3.120,3.380
3,7:03,2,4,DEN 31,7,13,Joe Flacco pass complete short right to Kelley Washington for 10 yards (tackle by D.J. Williams),3.380,4.170
3,6:50,1,10,DEN 21,7,13,"Todd Heap for 2 yards. Todd Heap fumbles, recovered by Todd Heap at DEN-19",4.170,3.900
3,6:18,2,8,DEN 19,7,13,Joe Flacco pass complete short right to Derrick Mason for 3 yards (tackle by Brian Dawkins and Wesley Woodyard),3.900,3.630
3,5:39,3,5,DEN 16,7,13,Joe Flacco pass complete short right to Ray Rice for 3 yards,3.630,2.690
3,4:59,4,2,DEN 13,7,16,Steven Hauschka 31 yard field goal good,2.690,3.000
3,,,,BAL 30,7,16,"Steven Hauschka kicks off 73 yards, returned by Eddie Royal for 25 yards (tackle by Chris Carr)",0.000,0.410
3,4:48,1,10,DEN 22,7,16,Correll Buckhalter middle for -1 yards (tackle by Trevor Pryce),0.410,-0.270
3,4:15,2,11,DEN 21,7,16,Kyle Orton pass incomplete short middle intended for Brandon Marshall,-0.270,-0.960
3,4:11,3,11,DEN 21,7,16,Kyle Orton pass complete short right to Correll Buckhalter for 9 yards (tackle by Fabian Washington and Dawan Landry),-0.960,-1.370
3,3:33,4,2,DEN 30,7,16,"Mitch Berger punts 43 yards, fair catch by Chris Carr",-1.370,-0.740
3,3:25,1,10,BAL 27,7,16,Willis McGahee right end for 1 yard (tackle by Elvis Dumervil),0.740,0.330
3,2:40,2,9,BAL 28,7,16,Joe Flacco pass complete short left to Willis McGahee for 4 yards (tackle by Ryan McBean),0.330,0.170
3,1:59,3,5,BAL 32,7,16,Joe Flacco pass complete short middle to Kelley Washington for 18 yards (tackle by Renaldo Hill and Brian Dawkins),0.170,2.260
3,1:17,1,10,BAL 50,7,16,Ray Rice left tackle for -4 yards (tackle by Mario Haggan),2.260,1.170
3,0:42,2,14,BAL 46,7,16,Joe Flacco for 1 yard (tackle by Mario Haggan),1.170,0.630
3,0:11,3,13,BAL 47,7,16,"Joe Flacco pass complete short right to Mark Clayton for 10 yards. Penalty on Elvis Dumervil: Defensive Offside, 5 yards (no play)",0.630,1.290
Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,DEN 48,7,16,"Penalty on Darrell Reid: Neutral Zone Infraction, 5 yards (no play)",1.290,1.950
4,15:00,3,3,DEN 43,7,16,Joe Flacco pass complete short left to Kelley Washington for 21 yards (tackle by Brian Dawkins),1.950,4.110
4,14:23,1,10,DEN 22,7,16,Ray Rice left end for -2 yards (tackle by Robert Ayers),4.110,3.290
4,13:40,2,12,DEN 24,7,16,Mark Clayton right end for 4 yards (tackle by Renaldo Hill),3.290,3.140
4,13:13,3,8,DEN 20,7,22,"Joe Flacco pass complete deep middle to Derrick Mason for 20 yards, touchdown",3.140,7.000
4,,,,DEN 2,7,23,"Steven Hauschka kicks extra point good. Penalty on Renaldo Hill: Defensive Offside, 5 yards",0.000,0.000
4,,,,BAL 35,7,23,"Steven Hauschka kicks off 71 yards, touchback",0.000,0.280
4,13:07,1,10,DEN 20,7,23,Kyle Orton pass incomplete deep left intended for Jabar Gaffney (defended by Domonique Foxworth),0.280,-0.270
4,13:00,2,10,DEN 20,7,23,Kyle Orton pass complete deep left to Jabar Gaffney for 17 yards (tackle by Domonique Foxworth and Ed Reed),-0.270,1.400
4,12:16,1,10,DEN 37,7,23,Knowshon Moreno left tackle for 2 yards (tackle by Terrell Suggs),1.400,1.130
4,11:37,2,8,DEN 39,7,23,Kyle Orton pass complete short left to Daniel Graham for 5 yards (tackle by Terrell Suggs),1.130,1.090
4,11:03,3,3,DEN 44,7,23,Kyle Orton pass incomplete short middle intended for Eddie Royal (defended by Ed Reed),1.090,-0.460
4,10:59,4,3,DEN 44,7,23,"Mitch Berger punts 31 yards, fair catch by Chris Carr",-0.460,-0.610
4,10:50,1,10,BAL 25,7,23,Ray Rice middle for -4 yards (tackle by Andra Davis),0.610,-0.480
4,10:11,2,14,BAL 21,7,23,Joe Flacco sacked by Andra Davis for -6 yards,-0.480,-2.350
4,9:37,3,20,BAL 15,7,23,Joe Flacco pass complete short right to Ray Rice for 9 yards (tackle by Darrell Reid),-2.350,-1.770
4,8:55,4,11,BAL 24,7,23,"Sam Koch punts 50 yards, returned by Eddie Royal for -2 yards (tackle by Dawan Landry)",-1.770,-0.540
4,8:45,1,10,DEN 24,7,23,Kyle Orton pass complete short left to Correll Buckhalter for -5 yards (tackle by Ed Reed),0.540,-0.740
4,8:02,2,15,DEN 19,7,23,Kyle Orton pass incomplete short left intended for Brandon Marshall (defended by Domonique Foxworth),-0.740,-1.430
4,7:56,3,15,DEN 19,7,23,Kyle Orton sacked by Chris Carr for -10 yards,-1.430,-2.490
4,7:30,4,25,DEN 9,7,23,"Mitch Berger punts 47 yards, returned by Chris Carr for 12 yards (tackle by Darcel McBath). Penalty on David Tyree: Running Into the Kicker, 5 yards (no play)",-2.490,-2.470
4,7:16,4,20,DEN 14,7,23,"Mitch Berger punts 53 yards, returned by Chris Carr for 14 yards (tackle by David Bruton)",-2.470,-2.060
4,7:04,1,10,BAL 47,7,23,Ray Rice right guard for 8 yards (tackle by Mario Haggan),2.060,2.600
4,6:23,2,2,DEN 45,7,23,Le'Ron McClain middle for 1 yard (tackle by Andra Davis and Elvis Dumervil),2.600,2.020
4,5:39,,,,7,23,Timeout #1 by Baltimore Ravens,0.000,2.020
4,5:39,3,1,DEN 44,7,23,Le'Ron McClain left end for 20 yards (tackle by Renaldo Hill and Alphonso Smith),2.020,3.970
4,5:04,1,10,DEN 24,7,23,Ray Rice left tackle for 6 yards (tackle by Andra Davis),3.970,4.290
4,4:21,2,4,DEN 18,7,23,Ray Rice left end for 2 yards (tackle by Andra Davis),4.290,3.950
4,3:36,3,2,DEN 16,7,23,Le'Ron McClain middle for 10 yards (tackle by Renaldo Hill),3.950,5.830
4,2:53,1,6,DEN 6,7,23,"Le'Ron McClain middle for 2 yards (tackle by Mario Haggan). Penalty on Chris Chester: Offensive Holding, 10 yards (no play)",5.830,4.310
4,2:48,1,16,DEN 16,7,23,Ray Rice right tackle for 13 yards (tackle by Kenny Peterson),4.310,5.530
4,2:09,2,3,DEN 3,7,23,Ray Rice left guard for -4 yards (tackle by D.J. Williams),5.530,3.810
4,2:04,,,,7,23,Timeout #2 by Denver Broncos,0.000,3.810
4,2:04,3,7,DEN 7,7,29,"Ray Rice middle for 7 yards, touchdown",3.810,7.000
4,,,,DEN 2,7,30,Steven Hauschka kicks extra point good,0.000,0.000
4,,,,BAL 30,7,30,"Steven Hauschka kicks off 70 yards, returned by Eddie Royal for 20 yards (tackle by Tavares Gooden)",0.000,0.280
4,1:53,1,10,DEN 20,7,30,Kyle Orton pass complete short middle to Knowshon Moreno for 5 yards (tackle by Lardarius Webb),0.280,0.410
4,1:25,2,5,DEN 25,7,30,Kyle Orton pass complete short left to Jabar Gaffney for 12 yards (tackle by Lardarius Webb),0.410,1.400
4,1:18,1,10,DEN 37,7,30,Kyle Orton pass incomplete short left intended for Eddie Royal,1.400,0.860
4,1:13,2,10,DEN 37,7,30,Kyle Orton pass complete short right to Eddie Royal for 3 yards (tackle by Lardarius Webb),0.860,0.560
4,0:38,3,7,DEN 40,7,30,Kyle Orton pass incomplete short right intended for Eddie Royal,0.560,-0.720
4,0:33,4,7,DEN 40,7,30,Kyle Orton pass complete short left to Brandon Marshall for 9 yards (tackle by Ray Lewis),-0.720,2.190
4,0:18,,,,7,30,Timeout #3 by Denver Broncos,0.000,2.190
4,0:18,1,10,DEN 49,7,30,Kyle Orton pass complete deep middle to Daniel Graham for 23 yards (tackle by Ray Lewis),2.190,3.710
4,0:06,1,10,BAL 28,7,30,Kyle Orton spiked the ball,3.710,3.170
4,0:06,2,10,BAL 28,7,30,Kyle Orton pass complete short left to Correll Buckhalter for 10 yards (tackle by Dannell Ellerbe),3.170,3.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
