Unnamed: 0,DEN,BAL
First Downs,17,16
Rush-Yds-TDs,19-66-1,35-125-1
Cmp-Att-Yd-TD-INT,23-37-152-0-0,20-25-175-1-0
Sacked-Yards,2-18,2-8
Net Pass Yards,134,167
Total Yards,200,292
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,6-35,8-94
Third Down Conv.,3-13,11-18
Fourth Down Conv.,1-1,0-0
Time of Possession,26:23,33:37
