Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
1,7:47,3,2,BUF 41,0,6,Baker Mayfield pass incomplete short right intended for Odell Beckham (defended by Tre'Davious White),2.150,0.530
1,7:44,4,2,BUF 41,0,6,Baker Mayfield pass complete short right to Demetrius Harris for 16 yards (tackle by Levi Wallace),0.530,3.910
1,7:09,1,10,BUF 25,0,6,Nick Chubb left tackle for 24 yards (tackle by Levi Wallace and Jordan Poyer),3.910,6.970
1,6:20,1,1,BUF 1,0,6,Baker Mayfield pass incomplete short left intended for Odell Beckham. Penalty on Jordan Poyer: Defensive Pass Interference (no play),6.970,6.970
1,6:16,1,1,BUF 1,0,6,Nick Chubb right tackle for -1 yards (tackle by Matt Milano and Jordan Poyer),6.970,5.720
1,5:32,2,2,BUF 2,0,6,Nick Chubb right guard for 1 yard (tackle by Lorenzo Alexander),5.720,5.170
1,4:51,3,1,BUF 1,0,6,Baker Mayfield pass incomplete short left intended for Odell Beckham. Penalty on Tre'Davious White: Defensive Pass Interference (no play),5.170,6.970
1,4:45,1,1,BUF 1,0,6,Nick Chubb right guard for no gain (tackle by Tremaine Edmunds and Jordan Poyer),6.970,5.910
1,4:04,2,1,BUF 1,0,6,Baker Mayfield pass incomplete short right intended for Odell Beckham (defended by Tre'Davious White),5.910,5.170
1,4:00,3,1,BUF 1,0,6,Nick Chubb left guard for no gain (tackle by Jordan Poyer),5.170,3.550
1,3:18,4,1,BUF 1,0,6,Nick Chubb right tackle for -2 yards (tackle by Corey Liuget and Matt Milano),3.550,0.380
1,3:13,1,10,BUF 3,0,6,Patrick DiMarco right guard for 2 yards (tackle by Sione Takitaki),-0.380,-0.630
1,2:36,2,8,BUF 5,0,6,Frank Gore right guard for 4 yards (tackle by Mack Wilson),-0.630,-0.720
1,1:53,3,4,BUF 9,0,6,Josh Allen pass incomplete short right intended for John Brown (defended by Denzel Ward),-0.720,-2.490
1,1:50,4,4,BUF 9,0,6,"Corey Bojorquez punts 64 yards, muffed catch by Dontrell Hilliard, recovered by Dontrell Hilliard at CLE-27, returned by Dontrell Hilliard for no gain (tackle by Senorise Perry)",-2.490,-0.740
1,1:39,1,10,CLE 27,0,6,Nick Chubb left tackle for 1 yard (tackle by Jordan Poyer and Tremaine Edmunds),0.740,0.330
1,1:00,2,9,CLE 28,0,6,Baker Mayfield pass complete short middle to Nick Chubb for 4 yards (tackle by Matt Milano),0.330,0.170
1,0:15,3,5,CLE 32,0,6,Baker Mayfield pass complete short right to Kareem Hunt for 3 yards (tackle by Trent Murphy and Kevin Johnson),0.170,-1.040
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,CLE 35,0,6,"Jamie Gillan punts 53 yards, returned by Andre Roberts for 12 yards (tackle by Dontrell Hilliard)",-1.040,-0.540
2,14:49,1,10,BUF 24,0,6,Devin Singletary right guard for 9 yards (tackle by Damarious Randall),0.540,1.210
2,14:28,2,1,BUF 33,0,6,Frank Gore right guard for 3 yards (tackle by Joe Schobert),1.210,1.330
2,13:44,1,10,BUF 36,0,6,Josh Allen right tackle for 12 yards (tackle by Sheldon Richardson),1.330,2.130
2,13:03,1,10,BUF 48,0,6,Josh Allen pass incomplete deep left intended for John Brown,2.130,1.580
2,12:58,2,10,BUF 48,0,6,Devin Singletary left tackle for 8 yards (tackle by Greedy Williams),1.580,1.950
2,12:15,3,2,CLE 44,0,6,Josh Allen pass complete short left to Dawson Knox for 12 yards (tackle by Morgan Burnett),1.950,3.450
2,11:32,1,10,CLE 32,0,6,Josh Allen pass complete deep left to Robert Foster for 20 yards (tackle by Morgan Burnett),3.450,4.780
2,10:49,1,10,CLE 12,0,6,Frank Gore right tackle for 2 yards (tackle by Sione Takitaki),4.780,4.450
2,10:13,2,8,CLE 10,6,6,"Josh Allen up the middle for 10 yards, touchdown",4.450,7.000
2,10:09,,,CLE 15,7,6,Stephen Hauschka kicks extra point good,0.000,0.000
2,10:09,,,BUF 35,7,6,"Stephen Hauschka kicks off 64 yards, returned by Tavierre Thomas for 22 yards (tackle by Jaquan Johnson)",0.000,0.480
2,10:04,1,10,CLE 23,7,6,Baker Mayfield pass incomplete short left intended for Odell Beckham (defended by Tre'Davious White),0.480,-0.070
2,9:57,2,10,CLE 23,7,6,Nick Chubb left tackle for 6 yards (tackle by Matt Milano),-0.070,0.040
2,9:15,3,4,CLE 29,7,6,Baker Mayfield pass complete short right to Odell Beckham for 16 yards (tackle by Kevin Johnson),0.040,1.930
2,8:29,1,10,CLE 45,7,6,Nick Chubb right guard for 16 yards (tackle by Tre'Davious White),1.930,2.980
2,7:48,1,10,BUF 39,7,6,Baker Mayfield pass complete short left to Jarvis Landry for 10 yards (tackle by Levi Wallace),2.980,3.640
2,7:05,1,10,BUF 29,7,6,Baker Mayfield pass incomplete short right intended for Odell Beckham,3.640,3.100
2,7:00,2,10,BUF 29,7,6,Nick Chubb right end for 12 yards (tackle by Micah Hyde),3.100,4.440
2,6:21,1,10,BUF 17,7,6,Baker Mayfield pass complete short left to Jarvis Landry for 5 yards (tackle by Levi Wallace),4.440,4.690
2,5:49,2,5,BUF 12,7,6,Kareem Hunt right guard for 9 yards (tackle by Jordan Poyer),4.690,6.510
2,5:08,1,3,BUF 3,7,6,Baker Mayfield pass complete short left to Jarvis Landry for 2 yards (tackle by Micah Hyde and Taron Johnson),6.510,5.910
2,4:25,2,1,BUF 1,7,6,Nick Chubb right end for -2 yards (tackle by Trent Murphy),5.910,4.720
2,3:41,3,3,BUF 3,7,6,Baker Mayfield pass incomplete short middle intended for Nick Chubb,4.720,3.040
2,3:38,4,3,BUF 3,7,6,"Penalty on Chris Hubbard: False Start, 5 yards (no play)",3.040,2.950
2,3:38,4,8,BUF 8,7,9,Austin Seibert 27 yard field goal good,2.950,3.000
2,3:35,,,CLE 35,7,9,"Austin Seibert kicks off 66 yards, returned by Andre Roberts for 27 yards (tackle by Dontrell Hilliard)",0.000,0.670
2,3:28,1,10,BUF 26,7,9,Josh Allen pass incomplete short right intended for Cole Beasley,0.670,0.130
2,3:22,2,10,BUF 26,7,9,Josh Allen pass complete short right to Isaiah McKenzie for 8 yards (tackle by Denzel Ward and Mack Wilson),0.130,0.500
2,2:36,3,2,BUF 34,7,9,Josh Allen pass complete short left to Cole Beasley for 26 yards (tackle by T.J. Carrie),0.500,2.920
2,2:00,1,10,CLE 40,7,9,Josh Allen pass incomplete short middle,2.920,2.370
2,1:55,,,,,,Timeout #1 by Buffalo Bills,,
2,1:54,2,10,CLE 40,7,9,Josh Allen pass complete short left to Andre Roberts for 7 yards (tackle by Morgan Burnett),2.370,2.610
2,1:15,3,3,CLE 33,7,9,"Josh Allen right end for 1 yard (tackle by Mack Wilson). Penalty on Ty Nsekhe: Offensive Holding, 10 yards (no play)",2.610,1.290
2,1:09,3,13,CLE 43,7,9,Josh Allen pass complete deep right to John Brown for 16 yards (tackle by Damarious Randall),1.290,3.780
2,0:42,1,10,CLE 27,7,9,Josh Allen pass complete short right to John Brown for 11 yards (tackle by Mack Wilson),3.780,4.510
2,0:34,,,,,,Timeout #2 by Buffalo Bills,,
2,0:34,1,10,CLE 16,7,9,Josh Allen pass incomplete short middle intended for Devin Singletary,4.510,3.900
2,0:30,2,10,CLE 16,7,9,Josh Allen pass incomplete short right intended for Isaiah McKenzie (defended by Denzel Ward),3.900,3.080
2,0:26,3,10,CLE 16,7,9,Josh Allen pass incomplete deep right intended for Isaiah McKenzie,3.080,2.380
2,0:20,4,10,CLE 16,7,9,Stephen Hauschka 34 yard field goal no good,2.380,-0.540
2,0:17,1,10,CLE 24,7,9,Kareem Hunt left end for 9 yards (tackle by Jerry Hughes),0.540,1.210
2,0:08,,,,,,Timeout #1 by Cleveland Browns,,
2,0:08,2,1,CLE 33,7,9,Baker Mayfield left end for 2 yards (tackle by Trent Murphy),1.210,1.270
2,0:02,,,,,,Timeout #2 by Cleveland Browns,,
2,0:02,,,,,,Timeout #3 by Buffalo Bills,,
2,0:02,1,10,CLE 35,7,9,Kareem Hunt right tackle for 8 yards (tackle by Trent Murphy),1.270,1.800
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,7,9,"Austin Seibert kicks off 66 yards, returned by Andre Roberts for 24 yards (tackle by Dontrell Hilliard)",0.000,0.480
3,14:54,1,10,BUF 23,7,9,Devin Singletary right tackle for 1 yard (tackle by Larry Ogunjobi),0.480,0.070
3,14:15,2,9,BUF 24,7,9,Josh Allen pass complete short middle to Cole Beasley for 16 yards (tackle by Morgan Burnett),0.070,1.600
3,13:38,1,10,BUF 40,7,9,Josh Allen pass incomplete deep right intended for Andre Roberts,1.600,1.050
3,13:32,2,10,BUF 40,7,9,Devin Singletary right tackle for 10 yards (tackle by T.J. Carrie),1.050,2.260
3,12:58,1,10,BUF 50,7,9,Devin Singletary right guard for 4 yards (tackle by Chad Thomas),2.260,2.250
3,12:16,2,6,CLE 46,7,9,Josh Allen right guard for 2 yards (tackle by Morgan Burnett),2.250,1.820
3,11:45,3,4,CLE 44,7,9,Josh Allen sacked by Chad Thomas for -6 yards,1.820,-0.060
3,11:09,4,10,BUF 50,7,9,Corey Bojorquez punts 43 yards out of bounds,-0.060,0.380
3,11:00,1,10,CLE 8,9,9,"Baker Mayfield sacked by Tremaine Edmunds for -8 yards, safety.",-0.380,-2.000
3,10:53,,,CLE 20,9,9,"Jamie Gillan kicks off 67 yards, returned by Andre Roberts for 18 yards (tackle by Juston Burris)",0.000,1.000
3,10:49,1,10,BUF 31,9,9,"Penalty on Lee Smith: False Start, 5 yards (no play)",1.000,0.670
3,10:47,1,15,BUF 26,9,9,"Devin Singletary left tackle for 5 yards (tackle by Juston Burris). Penalty on Cody Ford: Offensive Holding, 10 yards (no play)",0.670,-0.370
3,10:22,1,25,BUF 16,9,9,Devin Singletary right guard for 6 yards (tackle by Damarious Randall and Larry Ogunjobi),-0.370,-0.760
3,9:42,2,19,BUF 22,9,9,Josh Allen pass complete short right to Dawson Knox for 16 yards (tackle by Joe Schobert),-0.760,0.700
3,9:04,3,3,BUF 38,9,9,Josh Allen pass incomplete deep right intended for Cole Beasley,0.700,-0.850
3,8:57,4,3,BUF 38,9,9,"Corey Bojorquez punts 47 yards, fair catch by Dontrell Hilliard at CLE-15",-0.850,0.220
3,8:50,1,10,CLE 15,9,9,Nick Chubb left tackle for 3 yards (tackle by Micah Hyde),-0.220,-0.280
3,8:14,2,7,CLE 18,9,9,"Baker Mayfield pass incomplete short middle intended for Demetrius Harris. Penalty on Trent Murphy: Defensive Offside, 5 yards (no play)",-0.280,0.480
3,8:08,2,2,CLE 23,9,9,Baker Mayfield pass complete short left to Odell Beckham for 10 yards (tackle by Tre'Davious White),0.480,1.140
3,7:38,1,10,CLE 33,9,9,Baker Mayfield pass complete short right to Kareem Hunt for 19 yards (tackle by Trent Murphy),1.140,2.390
3,6:53,1,10,BUF 48,9,9,Nick Chubb right guard for no gain (tackle by Matt Milano),2.390,1.850
3,6:12,2,10,BUF 48,9,9,Baker Mayfield pass complete short middle to Nick Chubb for 1 yard (tackle by Jordan Phillips and Shaq Lawson),1.850,1.290
3,5:25,3,9,BUF 47,9,9,Baker Mayfield pass complete short right to Odell Beckham for 14 yards (tackle by Tre'Davious White),1.290,3.380
3,4:41,1,10,BUF 33,9,9,Kareem Hunt right guard for 4 yards (tackle by Trent Murphy),3.380,3.380
3,4:02,2,6,BUF 29,9,9,Baker Mayfield pass incomplete deep right intended for Kareem Hunt (defended by Lorenzo Alexander),3.380,2.680
3,3:57,3,6,BUF 29,9,9,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Tremaine Edmunds),2.680,1.520
3,3:53,4,6,BUF 29,9,12,Austin Seibert 47 yard field goal good,1.520,3.000
3,3:49,,,CLE 35,9,12,"Austin Seibert kicks off 67 yards, returned by Andre Roberts for 27 yards (tackle by Sheldrick Redwine)",0.000,0.610
3,3:44,1,10,BUF 25,9,12,Josh Allen pass complete short left to Cole Beasley for 6 yards (tackle by Damarious Randall),0.610,0.870
3,3:04,2,4,BUF 31,9,12,Josh Allen pass complete short left to John Brown for 12 yards (tackle by Greedy Williams),0.870,1.800
3,2:25,1,10,BUF 43,9,12,Josh Allen pass incomplete short right intended for John Brown (defended by Greedy Williams),1.800,1.250
3,2:20,2,10,BUF 43,9,12,"Josh Allen pass incomplete deep right intended for Isaiah McKenzie. Penalty on Larry Ogunjobi: Roughing the Passer, 15 yards (no play)",1.250,2.790
3,2:13,1,10,CLE 42,9,12,Josh Allen pass complete short right to Dawson Knox for 6 yards (tackle by T.J. Carrie),2.790,3.050
3,1:35,2,4,CLE 36,9,12,Devin Singletary left guard for no gain (tackle by Sheldon Richardson),3.050,2.340
3,0:55,3,4,CLE 36,9,12,Josh Allen left tackle for 7 yards (tackle by Greedy Williams). Penalty on Dion Dawkins: Offensive Holding (Offsetting) Penalty on CLE: Defensive Holding (Offsetting) (no play),2.340,2.340
3,0:36,3,4,CLE 36,9,12,Josh Allen pass complete short left to Devin Singletary for no gain (tackle by Joe Schobert),2.340,0.890
3,0:03,,,,,,Timeout #1 by Cleveland Browns,,
3,0:02,4,4,CLE 36,9,12,Josh Allen pass incomplete short middle intended for John Brown,0.890,-1.330
Quarter,Time,Down,ToGo,Location,BUF,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 36,9,12,Nick Chubb right guard for 4 yards (tackle by Tremaine Edmunds and Lorenzo Alexander),1.330,1.330
4,14:20,2,6,CLE 40,9,12,Baker Mayfield pass complete short right to Jarvis Landry for -3 yards (tackle by Levi Wallace),1.330,0.230
4,13:39,3,9,CLE 37,9,12,Baker Mayfield pass incomplete deep left intended for Odell Beckham (defended by Tre'Davious White),0.230,-0.910
4,13:34,4,9,CLE 37,9,12,"Jamie Gillan punts 47 yards, fair catch by Andre Roberts at BUF-16",-0.910,0.140
4,13:27,1,10,BUF 16,9,12,Frank Gore right guard for 3 yards (tackle by Myles Garrett),-0.140,-0.180
4,12:47,2,7,BUF 19,9,12,Josh Allen pass complete deep left to John Brown for 17 yards (tackle by Greedy Williams),-0.180,1.330
4,12:23,1,10,BUF 36,9,12,Josh Allen pass incomplete short right,1.330,0.790
4,12:20,2,10,BUF 36,9,12,Josh Allen pass complete short middle to Frank Gore for 4 yards (tackle by Joe Schobert),0.790,0.630
4,11:37,3,6,BUF 40,9,12,Josh Allen pass incomplete short right intended for Andre Roberts,0.630,-0.720
4,11:32,4,6,BUF 40,9,12,"Corey Bojorquez punts 45 yards, fair catch by Dontrell Hilliard at CLE-15",-0.720,0.220
4,11:25,1,10,CLE 15,9,12,Baker Mayfield pass complete short right to Jarvis Landry for 12 yards,-0.220,0.740
4,10:55,1,10,CLE 27,9,12,Nick Chubb right tackle for 6 yards (tackle by Taron Johnson),0.740,1.010
4,10:15,2,4,CLE 33,9,12,Baker Mayfield pass incomplete deep right intended for Odell Beckham,1.010,0.300
4,10:09,3,4,CLE 33,9,12,Baker Mayfield sacked by Matt Milano for -9 yards,0.300,-1.770
4,9:23,4,13,CLE 24,9,12,"Jamie Gillan punts 46 yards, returned by Andre Roberts for 22 yards (tackle by D'Ernest Johnson)",-1.770,-2.390
4,9:10,1,10,CLE 48,9,12,Josh Allen pass complete short middle to Dawson Knox for 21 yards (tackle by Morgan Burnett),2.390,3.780
4,8:31,1,10,CLE 27,9,12,"Isaiah McKenzie right end for 5 yards (tackle by Larry Ogunjobi). Penalty on Lee Smith: Offensive Holding, 10 yards (no play)",3.780,3.120
4,8:04,1,20,CLE 37,9,12,Josh Allen pass complete deep middle to Cole Beasley for 26 yards (tackle by Damarious Randall),3.120,4.840
4,7:17,1,10,CLE 11,9,12,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Damarious Randall),4.840,4.140
4,7:12,2,10,CLE 11,9,12,Josh Allen right end for no gain (tackle by Joe Schobert),4.140,3.130
4,6:29,3,10,CLE 11,9,12,"Josh Allen up the middle for 3 yards (tackle by Sheldon Richardson). Josh Allen fumbles (forced by Sheldon Richardson), recovered by Jon Feliciano at CLE-1 (tackle by T.J. Carrie)",3.130,6.970
4,5:47,1,1,CLE 1,9,12,Frank Gore left tackle for no gain (tackle by Denzel Ward),6.970,5.910
4,5:34,2,1,CLE 1,15,12,"Josh Allen up the middle for 1 yard, touchdown",5.910,7.000
4,5:26,,,CLE 15,16,12,Stephen Hauschka kicks extra point good,0.000,0.000
4,5:26,,,BUF 35,16,12,"Stephen Hauschka kicks off 65 yards, returned by Tavierre Thomas for 18 yards (tackle by Siran Neal)",0.000,0.040
4,5:21,1,10,CLE 18,16,12,Baker Mayfield pass complete short right to Kareem Hunt for 1 yard (tackle by Levi Wallace),0.040,-0.320
4,4:38,2,9,CLE 19,16,12,Baker Mayfield pass complete short left to Odell Beckham for 13 yards (tackle by Tre'Davious White),-0.320,1.070
4,4:34,1,10,CLE 32,16,12,Baker Mayfield pass complete short left to Kareem Hunt for 3 yards (tackle by Matt Milano),1.070,0.930
4,3:49,2,7,CLE 35,16,12,Baker Mayfield pass incomplete short middle intended for Kareem Hunt,0.930,0.230
4,3:48,3,7,CLE 35,16,12,Baker Mayfield pass complete short right to Kareem Hunt for 9 yards (tackle by Jordan Poyer),0.230,1.860
4,3:11,1,10,CLE 44,16,12,Nick Chubb right tackle for 21 yards (tackle by Taron Johnson),1.860,3.250
4,2:23,,,,,,Timeout #2 by Cleveland Browns,,
4,2:23,1,10,BUF 35,16,12,Baker Mayfield pass complete short left to Odell Beckham for 4 yards (tackle by Tre'Davious White),3.250,3.240
4,2:00,,,,,,Timeout #1 by Buffalo Bills,,
4,2:00,2,6,BUF 31,16,12,Baker Mayfield pass complete deep left to Jarvis Landry for 24 yards (tackle by Levi Wallace),3.240,5.600
4,1:50,1,7,BUF 7,16,12,Nick Chubb right guard for no gain (tackle by Lorenzo Alexander),5.600,4.760
4,1:48,,,,,,Timeout #2 by Buffalo Bills,,
4,1:48,2,7,BUF 7,16,18,"Baker Mayfield pass complete short right to Rashard Higgins for 7 yards, touchdown",4.760,7.000
4,1:44,,,BUF 15,16,19,Austin Seibert kicks extra point good,0.000,0.000
4,1:44,,,CLE 35,16,19,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
4,1:44,1,10,BUF 25,16,19,Josh Allen pass incomplete short left intended for Devin Singletary,0.610,0.060
4,1:39,2,10,BUF 25,16,19,Josh Allen pass complete short left to Devin Singletary for 2 yards (tackle by Damarious Randall),0.060,-0.360
4,1:34,3,8,BUF 27,16,19,Josh Allen pass complete deep left to John Brown for 21 yards (tackle by Morgan Burnett),-0.360,2.130
4,1:09,1,10,BUF 48,16,19,Josh Allen pass complete short right to Isaiah McKenzie for 11 yards (tackle by Denzel Ward),2.130,2.850
4,1:05,1,10,CLE 41,16,19,Josh Allen pass incomplete short left intended for Devin Singletary (defended by T.J. Carrie),2.850,2.310
4,0:59,2,10,CLE 41,16,19,Josh Allen pass complete short right to Devin Singletary for 6 yards (tackle by Denzel Ward),2.310,2.410
4,0:26,3,4,CLE 35,16,19,Josh Allen pass incomplete deep right intended for John Brown,2.410,0.980
4,0:22,,,,,,Timeout #3 by Buffalo Bills,,
4,0:22,4,4,CLE 35,16,19,Stephen Hauschka 53 yard field goal no good,0.980,-1.800
4,0:17,1,10,CLE 43,16,19,Baker Mayfield kneels for -1 yards,1.800,1.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
