Unnamed: 0,BUF,CLE
First Downs,20,24
Rush-Yds-TDs,20-84-2,26-147-0
Cmp-Att-Yd-TD-INT,22-41-266-0-0,26-38-238-2-0
Sacked-Yards,1-6,2-17
Net Pass Yards,260,221
Total Yards,344,368
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,7-40,4-70
Third Down Conv.,5-13,4-11
Fourth Down Conv.,0-2,1-2
Time of Possession,28:14,31:46
