Quarter,Time,Tm,Detail,BUF,CLE
1.0,12:09,Browns,Jarvis Landry 17 yard pass from Baker Mayfield (Austin Seibert kick failed),0,6
2.0,10:09,Bills,Josh Allen 10 yard rush (Stephen Hauschka kick),7,6
,3:35,Browns,Austin Seibert 27 yard field goal,7,9
3.0,10:53,Bills,"Safety, Baker Mayfield sacked in end zone by Tremaine Edmunds",9,9
,3:49,Browns,Austin Seibert 47 yard field goal,9,12
4.0,5:26,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),16,12
,1:44,Browns,Rashard Higgins 7 yard pass from Baker Mayfield (Austin Seibert kick),16,19
