Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 66 yards, muffed catch by Justice Hill returned by Justice Hill for 9 yards (tackle by Deon Lacey)",0.000,-0.370
1,14:56,1,10,BAL 11,0,0,Mark Ingram right guard for 49 yards (tackle by Xavien Howard and Reshad Jones),-0.370,2.920
1,14:09,1,10,MIA 40,0,0,Lamar Jackson pass complete short right to Hayden Hurst for 7 yards (tackle by Samuel Eguavoen),2.920,3.320
1,13:33,2,3,MIA 33,0,0,Gus Edwards right tackle for 11 yards (tackle by Eric Rowe),3.320,4.110
1,12:50,1,10,MIA 22,0,0,Lamar Jackson pass complete short right to Nick Boyle for 3 yards (tackle by Eric Rowe),4.110,3.970
1,12:27,2,7,MIA 19,0,0,Justice Hill left end for 13 yards (tackle by Minkah Fitzpatrick),3.970,5.830
1,11:49,1,6,MIA 6,0,0,Mark Ingram right tackle for 4 yards (tackle by Davon Godchaux),5.830,5.720
1,11:10,2,2,MIA 2,0,0,Gus Edwards up the middle for 1 yard (tackle by Reshad Jones),5.720,5.170
1,10:38,,,,,,Timeout #1 by Miami Dolphins,,
1,10:38,3,1,MIA 1,6,0,"Mark Ingram right tackle for 1 yard, touchdown",5.170,7.000
1,10:34,,,MIA 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,10:34,,,BAL 35,7,0,"Justin Tucker kicks off 67 yards, returned by Jakeem Grant for 23 yards (tackle by DeShon Elliott)",0.000,0.340
1,10:29,1,10,MIA 21,7,0,Ryan Fitzpatrick pass incomplete short right intended for Preston Williams,0.340,-0.200
1,10:26,2,10,MIA 21,7,0,Ryan Fitzpatrick pass complete short right to Albert Wilson for 12 yards (tackle by Kenny Young),-0.200,1.140
1,9:47,1,10,MIA 33,7,0,Kalen Ballage up the middle for 4 yards (tackle by Brandon Williams and Patrick Onwuasor),1.140,1.130
