Quarter,Time,Tm,Detail,BAL,MIA
1.0,10:34,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,0
,8:37,Ravens,Marquise Brown 47 yard pass from Lamar Jackson (Justin Tucker kick),14,0
,4:17,Ravens,Marquise Brown 83 yard pass from Lamar Jackson (Justin Tucker kick),21,0
2.0,13:49,Ravens,Willie Snead 33 yard pass from Lamar Jackson (Justin Tucker kick),28,0
,10:38,Dolphins,Jason Sanders 54 yard field goal,28,3
,6:50,Ravens,Miles Boykin 5 yard pass from Lamar Jackson (Justin Tucker kick),35,3
,1:42,Ravens,Mark Ingram 2 yard rush (Justin Tucker kick),42,3
,0:13,Dolphins,Preston Williams 6 yard pass from Ryan Fitzpatrick (Jason Sanders kick),42,10
3.0,7:54,Ravens,Patrick Ricard 1 yard pass from Lamar Jackson (Justin Tucker kick),49,10
,0:22,Ravens,Justin Tucker 34 yard field goal,52,10
4.0,9:24,Ravens,Mark Andrews 3 yard pass from Robert Griffin III (Justin Tucker kick),59,10
