Unnamed: 0,BAL,MIA
First Downs,31,12
Rush-Yds-TDs,46-265-2,12-21-0
Cmp-Att-Yd-TD-INT,23-26-379-6-0,15-32-190-1-2
Sacked-Yards,1-1,3-11
Net Pass Yards,378,179
Total Yards,643,200
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,4-40,9-64
Third Down Conv.,7-11,3-10
Fourth Down Conv.,2-2,0-0
Time of Possession,40:07,19:53
