Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Aaron Jones,GNB,21,127,0,8,35,1.7,92,4.4,2,10.5
AJ Dillon,GNB,7,12,1,1,4,0.6,8,1.1,0,
Patrick Taylor,GNB,3,4,0,,1,0.3,3,1.0,1,3.0
Jordan Love,GNB,2,12,1,1,10,5.0,2,1.0,0,
Bo Melton,GNB,1,7,0,0,0,0.0,7,7.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chuba Hubbard,CAR,16,43,1,5,7,0.4,36,2.3,0,
Bryce Young,CAR,4,17,0,1,15,3.8,2,0.5,0,
Miles Sanders,CAR,3,3,0,,2,0.7,1,0.3,0,
Ihmir Smith-Marsette,CAR,2,33,1,2,21,10.5,12,6.0,0,
