Unnamed: 0,GNB,CAR
First Downs,25,26
Rush-Yds-TDs,34-162-2,25-96-2
Cmp-Att-Yd-TD-INT,17-28-219-2-0,23-36-312-2-0
Sacked-Yards,1-12,2-14
Net Pass Yards,207,298
Total Yards,369,394
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,6-67,8-87
Third Down Conv.,8-14,6-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:39,31:21
