Quarter,Time,Tm,Detail,GNB,CAR
1.0,7:30,Packers,AJ Dillon 1 yard rush (Anders Carlson kick),7,0
,5:24,Panthers,Eddy Pineiro 52 yard field goal,7,3
2.0,14:57,Packers,Jordan Love 1 yard rush (Anders Carlson kick failed),13,3
,10:29,Panthers,Ihmir Smith-Marsette 20 yard rush (Eddy Pineiro kick),13,10
,7:51,Packers,Anders Carlson 53 yard field goal,16,10
,0:49,Packers,Dontayvion Wicks 21 yard pass from Jordan Love (Anders Carlson kick),23,10
3.0,5:11,Panthers,Chuba Hubbard 4 yard rush (Eddy Pineiro kick failed),23,16
4.0,14:57,Packers,Romeo Doubs 5 yard pass from Jordan Love (Anders Carlson kick),30,16
,7:14,Panthers,DJ Chark 11 yard pass from Bryce Young (Eddy Pineiro kick failed),30,22
,4:05,Panthers,DJ Chark 10 yard pass from Bryce Young (Raheem Blackshear run),30,30
,0:19,Packers,Anders Carlson 32 yard field goal,33,30
