Quarter,Time,Tm,Detail,ARI,SFO
1.0,14:18,Cardinals,A.J. Green 77 yard pass from David Blough (Matt Prater kick failed),6,0
,10:40,49ers,Christian McCaffrey 21 yard pass from Brock Purdy (Robbie Gould kick),6,7
2.0,12:07,49ers,Elijah Mitchell 5 yard rush (Robbie Gould kick),6,14
,4:41,Cardinals,Corey Clement 1 yard rush (Matt Prater kick),13,14
,0:19,49ers,George Kittle 4 yard pass from Brock Purdy (Robbie Gould kick),13,21
3.0,11:32,49ers,Elijah Mitchell 6 yard rush (Robbie Gould kick),13,28
,5:47,49ers,Robbie Gould 27 yard field goal,13,31
,1:01,49ers,George Kittle 1 yard pass from Brock Purdy (Robbie Gould kick),13,38
