Unnamed: 0,ARI,SFO
First Downs,11,21
Rush-Yds-TDs,20-61-1,37-169-2
Cmp-Att-Yd-TD-INT,20-27-209-1-3,15-20-178-3-0
Sacked-Yards,3-15,4-36
Net Pass Yards,194,142
Total Yards,255,311
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,7-50,2-10
Third Down Conv.,4-10,6-13
Fourth Down Conv.,0-2,0-1
Time of Possession,25:46,34:14
