Quarter,Time,Tm,Detail,DAL,LAC
1.0,8:09,Cowboys,Tony Pollard 4 yard rush (Greg Zuerlein kick),7,0
,3:32,Chargers,Tristan Vizcaino 46 yard field goal,7,3
,0:17,Cowboys,Ezekiel Elliott 5 yard rush (Greg Zuerlein kick),14,3
2.0,9:49,Chargers,Mike Williams 12 yard pass from Justin Herbert (Austin Ekeler run),14,11
3.0,9:22,Chargers,Tristan Vizcaino 32 yard field goal,14,14
4.0,10:25,Cowboys,Greg Zuerlein 34 yard field goal,17,14
,3:54,Chargers,Tristan Vizcaino 29 yard field goal,17,17
,0:00,Cowboys,Greg Zuerlein 56 yard field goal,20,17
