Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Tristan Vizcaino kicks off 67 yards, returned by Tony Pollard for 24 yards (tackle by Nick Niemann and Alohi Gilman)",,
1,14:54,1,10,DAL 22,0,0,Ezekiel Elliott up the middle for 1 yard (tackle by Christian Covington),,
1,14:19,2,9,DAL 23,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Kenneth Murray),,
1,13:45,3,3,DAL 29,0,0,Ezekiel Elliott left guard for 10 yards (tackle by Nasir Adderley),,
1,13:12,1,10,DAL 39,0,0,Dak Prescott pass complete short left to Dalton Schultz for 7 yards (tackle by Alohi Gilman and Kenneth Murray),,
1,12:48,2,3,DAL 46,0,0,Ezekiel Elliott up the middle for 1 yard (tackle by Kyzir White and Uchenna Nwosu),,
1,12:30,3,2,DAL 47,0,0,Ezekiel Elliott left end for 1 yard (tackle by Kyzir White and Uchenna Nwosu),,
1,12:03,4,1,DAL 48,0,0,"Dak Prescott pass incomplete short left intended for Amari Cooper. Penalty on Kyzir White: Defensive Pass Interference, 4 yards (accepted) (no play)",,
1,12:00,1,10,LAC 48,0,0,Tony Pollard left guard for 3 yards (tackle by Jerry Tillery),,
1,11:20,2,7,LAC 45,0,0,Dak Prescott pass complete short right to Tony Pollard for 6 yards (tackle by Asante Samuel),,
1,10:51,3,1,LAC 39,0,0,Tony Pollard up the middle for 5 yards (tackle by Linval Joseph),,
1,10:18,1,10,LAC 34,0,0,Ezekiel Elliott left end for -2 yards (tackle by Drue Tranquill),,
1,9:46,2,12,LAC 36,0,0,Dak Prescott pass complete short middle to Blake Jarwin for 20 yards (tackle by Nasir Adderley and Alohi Gilman),,
1,9:22,1,10,LAC 16,0,0,Ezekiel Elliott right guard for 5 yards (tackle by Drue Tranquill),,
1,8:45,2,5,LAC 11,0,0,Dak Prescott pass incomplete short middle intended for Amari Cooper (defended by Asante Samuel),,
1,8:40,3,5,LAC 11,0,0,Dak Prescott pass complete short right to Amari Cooper for 7 yards (tackle by Michael Davis),,
1,8:14,1,4,LAC 4,6,0,"Tony Pollard right end for 4 yards, touchdown",,
1,8:09,,,LAC 15,7,0,Greg Zuerlein kicks extra point good,,
1,8:09,,,DAL 35,7,0,"Greg Zuerlein kicks off 65 yards, touchback.",,
1,8:09,1,10,LAC 25,7,0,Austin Ekeler left guard for 20 yards (tackle by Jaylon Smith),,
1,7:35,1,10,LAC 45,7,0,Justin Herbert pass complete deep right to Keenan Allen for 22 yards,,
