Unnamed: 0,DAL,LAC
First Downs,25,24
Rush-Yds-TDs,31-198-2,19-95-0
Cmp-Att-Yd-TD-INT,23-27-237-0-1,31-41-338-1-2
Sacked-Yards,2-16,2-25
Net Pass Yards,221,313
Total Yards,419,408
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,8-76,12-99
Third Down Conv.,6-10,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,29:03,30:57
