Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TEN 20,0,0,Antonio Andrews right tackle for 5 yards (tackle by Kenny Vaccaro and John Jenkins),0.280,0.410
1,14:33,2,5,TEN 25,0,0,Dexter McCluster right end for 2 yards (tackle by Stephone Anthony and Michael Mauti),0.410,-0.030
1,13:54,3,3,TEN 27,0,0,Marcus Mariota pass incomplete short right intended for Dexter McCluster (defended by Delvin Breaux),-0.030,-1.570
1,13:49,4,3,TEN 27,0,0,"Brett Kern punts 56 yards, returned by Marcus Murphy for 11 yards (tackle by Steven Johnson)",-1.570,-0.810
1,13:36,1,10,NOR 28,0,0,Mark Ingram left guard for 1 yard (tackle by Michael Griffin),0.810,0.400
1,13:05,2,9,NOR 29,0,0,Mark Ingram right tackle for 3 yards (tackle by Avery Williamson),0.400,0.100
1,12:36,3,6,NOR 32,0,0,Drew Brees pass complete short left to Willie Snead for 10 yards (tackle by Cody Riggs),0.100,1.730
1,12:02,1,10,NOR 42,0,0,Drew Brees pass complete deep left to Brandin Cooks for 25 yards (tackle by Wesley Woodyard and Avery Williamson),1.730,3.380
1,11:27,1,10,TEN 33,0,0,"Drew Brees pass complete short right to C.J. Spiller for 9 yards (tackle by Avery Williamson). Penalty on Josh Hill: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
1,11:09,1,20,TEN 43,0,0,Drew Brees pass complete deep left to Brandon Coleman for 30 yards (tackle by Michael Griffin),2.720,4.710
1,10:29,1,10,TEN 13,0,0,Mark Ingram right guard for 3 yards (tackle by Brian Orakpo and Wesley Woodyard),4.710,4.580
1,9:53,2,7,TEN 10,0,6,"Drew Brees pass complete short right to Josh Hill for 10 yards, touchdown",4.580,7.000
1,9:53,,,TEN 10,0,7,Kai Forbath kicks extra point good,0.000,0.000
1,9:53,,,NOR 35,0,7,"Thomas Morstead kicks off 67 yards, returned by Dexter McCluster for 16 yards (tackle by Jamarca Sanford). Penalty on Phillip Supernaw: Offensive Holding, 7 yards",0.000,0.380
1,9:43,1,10,TEN 7,0,7,Antonio Andrews right tackle for -1 yards (tackle by John Jenkins),-0.380,-0.850
1,9:04,2,11,TEN 6,0,7,Marcus Mariota for no gain. Andy Gallik fumbles. Penalty on Joe Looney: Offensive Holding (Declined),-0.850,-1.540
1,9:00,3,11,TEN 6,0,7,Marcus Mariota pass incomplete short middle intended for Antonio Andrews,-1.540,-2.490
1,8:54,4,11,TEN 6,0,7,"Brett Kern punts 54 yards, returned by Marcus Murphy for 2 yards (tackle by Cody Riggs). Marcus Murphy fumbles (forced by Cody Riggs), recovered by Steven Johnson at NOR-42",-2.490,2.790
1,8:41,1,10,NOR 42,0,7,Antonio Andrews left tackle for 9 yards (tackle by David Hawthorne),2.790,3.460
1,8:03,2,1,NOR 33,0,7,Marcus Mariota pass incomplete short right intended for Craig Stevens,3.460,2.740
1,7:56,3,1,NOR 33,0,7,Antonio Andrews right guard for no gain (tackle by John Jenkins),2.740,1.210
1,7:03,4,1,NOR 33,3,7,Ryan Succop 51 yard field goal good,1.210,3.000
1,7:03,,,TEN 35,3,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,6:58,1,10,NOR 20,3,7,Mark Ingram left guard for 3 yards (tackle by Perrish Cox and Al Woods),0.280,0.140
1,6:26,2,7,NOR 23,3,7,Drew Brees pass incomplete short left intended for Willie Snead (defended by Brian Orakpo),0.140,-0.560
1,6:22,3,7,NOR 23,3,7,Drew Brees pass complete short right to Willie Snead for 9 yards (tackle by Coty Sensabaugh),-0.560,1.070
1,5:52,1,10,NOR 32,3,7,Drew Brees pass complete short right to Ben Watson for 12 yards (tackle by Michael Griffin),1.070,1.070
1,5:13,1,10,NOR 32,3,7,Timeout #1 by New Orleans Saints,1.070,1.860
1,5:13,1,10,NOR 44,3,7,Drew Brees pass incomplete short right intended for C.J. Spiller,1.860,1.320
1,5:08,2,10,NOR 44,3,7,Mark Ingram right tackle for 2 yards (tackle by Avery Williamson),1.320,0.890
1,4:28,3,8,NOR 46,3,7,Drew Brees pass complete short middle to Marques Colston for 16 yards (tackle by Michael Griffin),0.890,3.050
1,3:51,1,10,TEN 38,3,13,"Drew Brees pass complete deep left to Brandin Cooks for 38 yards, touchdown",3.050,7.000
1,3:51,,,TEN 38,3,14,Kai Forbath kicks extra point good,0.000,0.000
1,3:51,,,NOR 35,3,14,"Thomas Morstead kicks off 65 yards, returned by Dexter McCluster for 25 yards (tackle by Mike Mohamed)",0.000,-0.610
1,3:38,1,10,TEN 25,3,14,Marcus Mariota pass complete short right to Anthony Fasano for 5 yards (tackle by Michael Mauti),0.610,0.740
1,2:58,2,5,TEN 30,3,14,"Antonio Andrews left tackle for no gain (tackle by Stephone Anthony and Bobby Richardson). Penalty on Bobby Richardson: Defensive Offside, 5 yards (no play)",0.740,1.270
1,2:39,1,10,TEN 35,3,14,Antonio Andrews left tackle for 5 yards (tackle by Cameron Jordan),1.270,1.400
1,1:56,2,5,TEN 40,3,14,Antonio Andrews right end for -1 yards (tackle by Michael Mauti and Kenny Vaccaro),1.400,0.560
1,1:12,3,6,TEN 39,9,14,"Marcus Mariota pass complete deep left to Delanie Walker for 61 yards, touchdown",0.560,7.000
1,1:12,,,NOR 39,10,14,Ryan Succop kicks extra point good,0.000,0.000
1,1:12,,,TEN 35,10,14,"Ryan Succop kicks off 68 yards, returned by Marcus Murphy for 24 yards (tackle by Steven Johnson)",0.000,-0.340
1,0:55,1,10,NOR 21,10,14,Mark Ingram right end for 1 yard (tackle by Avery Williamson and Coty Sensabaugh),0.340,-0.070
1,0:18,2,9,NOR 22,10,14,Drew Brees pass incomplete deep right intended for Brandon Coleman,-0.070,-0.760
1,0:12,3,9,NOR 22,10,14,"Drew Brees pass incomplete short left intended for Brandin Cooks is intercepted by Perrish Cox at NOR-37. Penalty on Karl Klug: Roughing the Passer, 15 yards (no play)",-0.760,1.400
1,0:06,1,10,NOR 37,10,14,Drew Brees pass complete short middle to Mark Ingram for 5 yards (tackle by Zach Brown),1.400,1.530
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NOR 42,10,14,Mark Ingram right tackle for 12 yards (tackle by Zach Brown),1.530,2.520
2,14:33,1,10,TEN 46,10,14,Mark Ingram right tackle for 1 yard (tackle by Coty Sensabaugh),2.520,2.110
2,13:51,2,9,TEN 45,10,14,Drew Brees pass complete deep left to Willie Snead for 32 yards (tackle by Perrish Cox),2.110,4.710
2,13:19,1,10,TEN 13,10,14,Drew Brees sacked by Brian Orakpo for -4 yards,4.710,3.500
2,12:34,2,14,TEN 17,10,14,Drew Brees pass complete short left to Mark Ingram for 14 yards (tackle by David Bass),3.500,6.510
2,11:43,1,3,TEN 3,10,14,"Drew Brees pass incomplete. Penalty on Jurrell Casey: Roughing the Passer, 2 yards (no play)",6.510,6.970
2,11:37,1,1,TEN 1,10,14,Mark Ingram right guard for no gain (tackle by DaQuan Jones and Angelo Blackson),6.970,5.910
2,11:04,2,1,TEN 1,10,20,"Drew Brees middle for 1 yard, touchdown",5.910,7.000
2,11:04,,,TEN 1,10,21,Kai Forbath kicks extra point good,0.000,0.000
2,11:04,,,NOR 35,10,21,"Kai Forbath kicks off 65 yards, returned by Dexter McCluster for 23 yards (tackle by Michael Mauti)",0.000,-0.480
2,10:56,1,10,TEN 23,10,21,Marcus Mariota pass complete short left to Antonio Andrews for 23 yards (tackle by Jairus Byrd),0.480,1.990
2,10:09,1,10,TEN 46,10,21,Antonio Andrews right tackle for 38 yards (tackle by Jairus Byrd),1.990,4.510
2,9:33,1,10,NOR 16,10,21,Dexter McCluster right guard for 2 yards (tackle by David Hawthorne and John Jenkins),4.510,4.210
2,8:50,2,8,NOR 14,10,21,Marcus Mariota pass complete short left to Delanie Walker for 12 yards (tackle by Michael Mauti),4.210,6.740
2,8:15,1,2,NOR 2,16,21,"Marcus Mariota pass complete short left to Delanie Walker for 2 yards, touchdown",6.740,7.000
2,8:15,,,NOR 2,17,21,Ryan Succop kicks extra point good,0.000,0.000
2,8:15,,,TEN 35,17,21,"Ryan Succop kicks off 70 yards, returned by Marcus Murphy for 35 yards (tackle by Cody Riggs)",0.000,-0.940
2,8:00,1,10,NOR 30,17,21,C.J. Spiller right end for 3 yards (tackle by Jurrell Casey),0.940,0.800
2,7:21,2,7,NOR 33,17,21,Drew Brees pass incomplete deep right intended for Willie Snead,0.800,0.100
2,7:13,3,7,NOR 33,17,21,Drew Brees pass incomplete short middle intended for Brandin Cooks,0.100,-1.180
2,7:08,4,7,NOR 33,17,21,"Thomas Morstead punts 45 yards, returned by Dexter McCluster for 7 yards (tackle by Brian Dixon)",-1.180,-0.870
2,6:57,1,10,TEN 29,17,21,Dexter McCluster right guard for 3 yards (tackle by Kevin Williams and John Jenkins),0.870,0.730
2,6:24,2,7,TEN 32,17,21,Dexter McCluster right guard for 5 yards (tackle by Kenny Vaccaro and Kevin Williams),0.730,0.700
