Unnamed: 0,TEN,NOR
First Downs,25,30
Rush-Yds-TDs,28-112-0,27-61-1
Cmp-Att-Yd-TD-INT,28-39-371-4-0,28-39-387-3-1
Sacked-Yards,0-0,4-32
Net Pass Yards,371,355
Total Yards,483,416
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,9-66,8-75
Third Down Conv.,5-13,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:21,32:49
