Quarter,Time,Tm,Detail,TEN,NOR
1,9:46,Saints,Josh Hill 10 yard pass from Drew Brees (Kai Forbath kick),0,7
,6:58,Titans,Ryan Succop 51 yard field goal,3,7
,3:44,Saints,Brandin Cooks 38 yard pass from Drew Brees (Kai Forbath kick),3,14
,1:00,Titans,Delanie Walker 61 yard pass from Marcus Mariota (Ryan Succop kick),10,14
2,11:01,Saints,Drew Brees 1 yard rush (Kai Forbath kick),10,21
,8:08,Titans,Delanie Walker 2 yard pass from Marcus Mariota (Ryan Succop kick),17,21
3,7:17,Titans,Ryan Succop 29 yard field goal,20,21
4,11:32,Saints,Michael Hoomanawanui 1 yard pass from Drew Brees (Kai Forbath kick),20,28
,7:06,Titans,Justin Hunter 8 yard pass from Marcus Mariota (Delanie Walker pass from Marcus Mariota),28,28
OT,9:50,Titans,Anthony Fasano 5 yard pass from Marcus Mariota,34,28
