Quarter,Time,Tm,Detail,BUF,NWE
1.0,6:04,Patriots,Stephen Gostkowski 43 yard field goal,0,3
,3:54,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),0,10
2.0,12:07,Bills,Rian Lindell 41 yard field goal,3,10
,9:09,Patriots,Danny Woodhead 15 yard rush (Stephen Gostkowski kick),3,17
,6:03,Bills,Fred Jackson 14 yard rush (Rian Lindell kick),10,17
,3:54,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),10,24
,0:31,Bills,Scott Chandler 3 yard pass from Ryan Fitzpatrick (Rian Lindell kick),17,24
3.0,7:06,Patriots,Danny Woodhead 18 yard pass from Tom Brady (Stephen Gostkowski kick),17,31
,1:37,Bills,Fred Jackson 1 yard rush (Rian Lindell kick),24,31
4.0,14:10,Patriots,Stephen Gostkowski 48 yard field goal,24,34
,7:47,Bills,Donald Jones 2 yard pass from Ryan Fitzpatrick (Rian Lindell kick),31,34
,2:06,Patriots,Stephen Gostkowski 27 yard field goal,31,37
