Unnamed: 0,BUF,NWE
First Downs,35,27
Rush-Yds-TDs,28-162-2,29-117-2
Cmp-Att-Yd-TD-INT,27-40-337-2-1,23-38-237-2-0
Sacked-Yards,3-18,1-7
Net Pass Yards,319,230
Total Yards,481,347
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,14-148,7-73
Third Down Conv.,7-11,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,33:50,26:10
