Unnamed: 0,SDG,DEN
First Downs,24,19
Rush-Yds-TDs,44-177-1,11-18-0
Cmp-Att-Yd-TD-INT,12-20-166-2-0,27-41-289-2-1
Sacked-Yards,2-6,1-12
Net Pass Yards,160,277
Total Yards,337,295
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,4-35,6-43
Third Down Conv.,6-12,2-9
Fourth Down Conv.,0-0,1-1
Time of Possession,38:49,21:11
